Subj_idx,Stimulus,Response,Confidence,RT_dec,Accuracy,nbrA,CA,IA,prmt,mt,Apmt,EMGtrial,force,EMG,Gender,age,RT_conf,Block,Trial
1,2,2.0,1,0.706054688,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,41
1,2,2.0,3,0.5546875,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,42
1,1,2.0,1,0.694335938,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,43
1,1,1.0,2,1.08203125,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,44
1,1,1.0,1,0.520996094,1.0,1.0,1.0,0.0,330.5664063,190.4296875,0.330566406,C,1.068530411,1,F,20,NAN,6,45
1,2,1.0,1,0.733398438,0.0,1.0,0.0,1.0,531.7382813,201.6601563,0.531738281,I,0.983992926,1,F,20,NAN,6,46
1,2,2.0,4,0.540527344,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,47
1,2,2.0,4,0.495117188,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,48
1,1,1.0,1,0.866210938,1.0,1.0,1.0,0.0,603.0273438,263.1835938,0.603027344,C,1.001005423,1,F,20,NAN,6,49
1,2,2.0,2,0.591308594,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,50
1,2,2.0,4,0.517578125,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,51
1,2,2.0,4,0.597167969,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,52
1,1,1.0,1,0.690429688,1.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,53
1,2,1.0,1,1.16015625,0.0,1.0,0.0,1.0,364.2578125,795.8984375,0.364257813,I,0.84883045,1,F,20,NAN,6,54
1,2,2.0,4,0.499511719,1.0,2.0,1.0,1.0,368.6523438,130.859375,0.247558594,I C,1.126080255,1,F,20,NAN,6,55
1,1,2.0,1,0.7734375,0.0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,6,56
1,1,1.0,1,0.848632813,1.0,1.0,1.0,0.0,664.0625,184.5703125,0.6640625,C,0.979267927,1,F,20,NAN,6,57
1,1,1.0,1,0.885742188,1.0,1.0,1.0,0.0,727.0507813,158.6914063,0.727050781,C,0.872980446,1,F,20,NAN,6,58
1,1,1.0,2,0.749511719,1.0,1.0,1.0,0.0,593.2617188,156.25,0.593261719,C,0.989442925,1,F,20,NAN,6,59
1,2,2.0,1,0.642089844,1.0,1.0,1.0,0.0,497.5585938,144.53125,0.497558594,C,0.904355294,1,F,20,NAN,6,60
1,2,2.0,2,0.607910156,1.0,2.0,1.0,1.0,479.4921875,128.4179688,0.204589844,I C,1.190080243,1,F,20,NAN,6,61
1,1,1.0,1,0.615234375,1.0,1.0,1.0,0.0,389.1601563,226.0742188,0.389160156,C,0.932042935,1,F,20,NAN,6,62
1,1,1.0,1,0.8671875,1.0,2.0,2.0,0.0,759.765625,107.421875,0.367675781,C C,1.118042902,1,F,20,NAN,6,63
1,2,2.0,3,0.543945313,1.0,1.0,1.0,0.0,367.1875,176.7578125,0.3671875,C,1.015905274,1,F,20,NAN,6,64
1,2,2.0,3,0.494628906,1.0,1.0,1.0,0.0,402.34375,92.28515625,0.40234375,C,1.103717759,1,F,20,NAN,6,65
1,2,1.0,1,0.61328125,0.0,3.0,0.0,3.0,476.0742188,137.2070313,0.245117188,I I I,1.152542896,1,F,20,NAN,6,66
1,1,1.0,1,0.454589844,1.0,1.0,1.0,0.0,301.7578125,152.8320313,0.301757813,C,0.977867927,1,F,20,NAN,6,67
1,2,2.0,2,0.545410156,1.0,1.0,1.0,0.0,353.515625,191.8945313,0.353515625,C,0.887055297,1,F,20,NAN,6,68
1,2,2.0,1,0.63671875,1.0,3.0,1.0,2.0,503.90625,132.8125,0.383789063,I I C,1.203305241,1,F,20,NAN,6,69
1,2,2.0,3,0.474121094,1.0,1.0,1.0,0.0,373.046875,101.0742188,0.373046875,C,1.238767735,1,F,20,NAN,6,70
1,2,2.0,1,0.671875,1.0,1.0,1.0,0.0,542.4804688,129.3945313,0.542480469,C,1.381142709,1,F,20,NAN,7,1
1,2,1.0,1,0.630859375,0.0,1.0,0.0,1.0,526.3671875,104.4921875,0.526367188,I,0.947680432,1,F,20,NAN,7,2
1,2,2.0,2,0.464355469,1.0,1.0,1.0,0.0,320.3125,144.0429688,0.3203125,C,1.415942703,1,F,20,NAN,7,3
1,2,2.0,3,0.486328125,1.0,1.0,1.0,0.0,341.796875,144.53125,0.341796875,C,1.590105172,1,F,20,NAN,7,4
1,2,2.0,3,0.478515625,1.0,1.0,1.0,0.0,346.6796875,131.8359375,0.346679688,C,1.234717735,1,F,20,NAN,7,5
1,1,1.0,3,0.701660156,1.0,1.0,1.0,0.0,541.015625,160.6445313,0.541015625,C,0.896692941,1,F,20,NAN,7,6
1,1,1.0,3,0.483886719,1.0,1.0,1.0,0.0,311.5234375,172.3632813,0.311523438,C,1.021817919,1,F,20,NAN,7,7
1,2,2.0,3,0.528808594,1.0,1.0,1.0,0.0,387.6953125,141.1132813,0.387695313,C,0.990355279,1,F,20,NAN,7,8
1,1,1.0,2,0.634277344,1.0,1.0,1.0,0.0,463.8671875,170.4101563,0.463867188,C,0.913880438,1,F,20,NAN,7,9
1,2,1.0,2,0.565917969,0.0,1.0,0.0,1.0,414.5507813,151.3671875,0.414550781,I,0.887992943,1,F,20,NAN,7,10
1,1,1.0,1,0.859863281,1.0,2.0,2.0,0.0,746.09375,113.7695313,0.402832031,C C,1.322017865,1,F,20,NAN,7,11
1,2,1.0,1,0.824707031,0.0,1.0,0.0,1.0,554.6875,270.0195313,0.5546875,I,0.892942942,1,F,20,NAN,7,12
1,2,NAN,0,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,0,F,20,NAN,7,13
1,1,2.0,0,0.5546875,0.0,2.0,1.0,1.0,457.5195313,97.16796875,0.318847656,C I,1.111317757,1,F,20,NAN,7,14
1,1,1.0,1,0.443847656,1.0,1.0,1.0,0.0,184.5703125,259.2773438,0.184570313,C,1.056980413,1,F,20,NAN,7,15
1,1,1.0,3,0.520996094,1.0,1.0,1.0,0.0,349.609375,171.3867188,0.349609375,C,0.973805428,1,F,20,NAN,7,16
1,1,1.0,2,0.530273438,1.0,1.0,1.0,0.0,311.5234375,218.75,0.311523438,C,0.941292933,1,F,20,NAN,7,17
1,1,1.0,2,0.610839844,1.0,1.0,1.0,0.0,387.6953125,223.1445313,0.387695313,C,0.968842929,1,F,20,NAN,7,18
1,1,2.0,1,0.5546875,0.0,1.0,0.0,1.0,384.765625,169.921875,0.384765625,I,1.114167757,1,F,20,NAN,7,19
1,1,2.0,1,0.810058594,0.0,1.0,0.0,1.0,641.1132813,168.9453125,0.641113281,I,1.003330277,1,F,20,NAN,7,20
1,2,1.0,1,0.487304688,0.0,1.0,0.0,1.0,298.828125,188.4765625,0.298828125,I,0.90558044,1,F,20,NAN,7,21
1,1,1.0,1,0.900390625,1.0,2.0,2.0,0.0,792.4804688,107.9101563,0.501953125,C C,1.151230396,1,F,20,NAN,7,22
1,2,1.0,0,0.811035156,0.0,1.0,0.0,1.0,660.6445313,150.390625,0.660644531,I,1.082442908,1,F,20,NAN,7,23
1,2,2.0,3,0.547363281,1.0,1.0,1.0,0.0,440.9179688,106.4453125,0.440917969,C,1.127092755,1,F,20,NAN,7,24
1,2,2.0,4,0.481933594,1.0,1.0,1.0,0.0,350.0976563,131.8359375,0.350097656,C,1.139992752,1,F,20,NAN,7,25
1,2,2.0,4,0.58203125,1.0,1.0,1.0,0.0,463.3789063,118.6523438,0.463378906,C,1.105480258,1,F,20,NAN,7,26
1,1,1.0,3,0.586914063,1.0,1.0,1.0,0.0,406.7382813,180.1757813,0.406738281,C,1.053455413,1,F,20,NAN,7,27
1,1,1.0,2,0.545898438,1.0,1.0,1.0,0.0,385.7421875,160.15625,0.385742188,C,1.022280419,1,F,20,NAN,7,28
1,2,1.0,2,0.581054688,0.0,1.0,0.0,1.0,333.0078125,248.046875,0.333007813,I,1.034480417,1,F,20,NAN,7,29
1,2,2.0,3,0.590332031,1.0,1.0,1.0,0.0,420.4101563,169.921875,0.420410156,C,0.968342783,1,F,20,NAN,7,30
1,1,1.0,1,0.649902344,1.0,1.0,1.0,0.0,344.2382813,305.6640625,0.344238281,C,1.164430394,1,F,20,NAN,7,31
1,1,1.0,1,0.4375,1.0,1.0,1.0,0.0,319.3359375,118.1640625,0.319335938,C,1.003142922,1,F,20,NAN,7,32
1,2,1.0,1,0.938964844,0.0,2.0,0.0,2.0,794.921875,144.0429688,0.449707031,I I,0.967642929,1,F,20,NAN,7,33
1,1,2.0,2,0.556640625,0.0,1.0,0.0,1.0,451.6601563,104.9804688,0.451660156,I,1.068280265,1,F,20,NAN,7,34
1,2,1.0,1,1.264160156,0.0,3.0,0.0,3.0,1095.214844,168.9453125,0.324707031,I I I,0.985542926,1,F,20,NAN,7,35
1,1,1.0,2,0.466796875,1.0,2.0,2.0,0.0,286.1328125,180.6640625,0.046386719,C C,1.036117917,1,F,20,NAN,7,36
1,2,2.0,1,0.579101563,1.0,2.0,1.0,1.0,430.6640625,148.4375,0.3359375,I C,1.019255274,1,F,20,NAN,7,37
1,2,1.0,1,0.717773438,0.0,3.0,0.0,3.0,518.0664063,199.7070313,0.319824219,I I I,0.935242935,1,F,20,NAN,7,38
1,1,1.0,1,0.727050781,1.0,3.0,3.0,0.0,622.5585938,104.4921875,0.465332031,C C C,0.990855425,1,F,20,NAN,7,39
1,2,2.0,3,0.610351563,1.0,1.0,1.0,0.0,486.8164063,123.5351563,0.486816406,C,1.022305273,1,F,20,NAN,7,40
1,1,2.0,2,0.599609375,0.0,1.0,0.0,1.0,476.0742188,123.5351563,0.476074219,I,1.068305265,1,F,20,NAN,7,41
1,2,1.0,1,0.686523438,0.0,1.0,0.0,1.0,559.5703125,126.953125,0.559570313,I,1.052730414,1,F,20,NAN,7,42
1,1,1.0,1,0.574707031,1.0,1.0,1.0,0.0,372.0703125,202.6367188,0.372070313,C,1.048417914,1,F,20,NAN,7,43
1,2,2.0,3,0.506347656,1.0,1.0,1.0,0.0,384.2773438,122.0703125,0.384277344,C,1.269405229,1,F,20,NAN,7,44
1,2,2.0,3,0.524902344,1.0,1.0,1.0,0.0,416.9921875,107.9101563,0.416992188,C,1.191030243,1,F,20,NAN,7,45
1,1,1.0,3,0.480957031,1.0,1.0,1.0,0.0,284.1796875,196.7773438,0.284179688,C,1.090192907,1,F,20,NAN,7,46
1,2,1.0,1,0.776855469,0.0,1.0,0.0,1.0,634.2773438,142.578125,0.634277344,I,0.941567933,1,F,20,NAN,7,47
1,1,2.0,2,0.588378906,0.0,1.0,0.0,1.0,474.609375,113.7695313,0.474609375,I,1.143380252,1,F,20,NAN,7,48
1,2,2.0,3,0.556152344,1.0,1.0,1.0,0.0,427.2460938,128.90625,0.427246094,C,1.135817753,1,F,20,NAN,7,49
1,2,2.0,3,0.576171875,1.0,1.0,1.0,0.0,423.3398438,152.8320313,0.423339844,C,1.15299275,1,F,20,NAN,7,50
1,1,1.0,2,0.5859375,1.0,1.0,1.0,0.0,399.4140625,186.5234375,0.399414063,C,0.954005431,1,F,20,NAN,7,51
1,2,2.0,3,0.623535156,1.0,1.0,1.0,0.0,533.203125,90.33203125,0.533203125,C,1.259142731,1,F,20,NAN,7,52
1,2,2.0,3,0.54296875,1.0,2.0,1.0,1.0,372.0703125,170.8984375,0.340820313,I C,1.156105249,1,F,20,NAN,7,53
1,1,1.0,0,0.604980469,1.0,2.0,2.0,0.0,462.890625,142.0898438,0.314453125,C C,1.011055421,1,F,20,NAN,7,54
1,2,2.0,3,0.688964844,1.0,2.0,1.0,1.0,545.8984375,143.0664063,0.501464844,I C,0.882792798,1,F,20,NAN,7,55
1,1,1.0,2,0.53515625,1.0,1.0,1.0,0.0,382.8125,152.34375,0.3828125,C,1.045342915,1,F,20,NAN,7,56
1,2,2.0,3,0.888183594,1.0,2.0,2.0,0.0,822.7539063,65.4296875,0.407226563,C C,1.719842649,1,F,20,NAN,7,57
1,1,1.0,3,0.735839844,1.0,2.0,2.0,0.0,504.3945313,231.4453125,0.39453125,C C,0.952755431,1,F,20,NAN,7,58
1,1,1.0,2,0.670898438,1.0,3.0,3.0,0.0,529.296875,141.6015625,0.345214844,C C C,0.994655424,1,F,20,NAN,7,59
1,2,1.0,1,0.656738281,0.0,1.0,0.0,1.0,416.9921875,239.7460938,0.416992188,I,1.076305409,1,F,20,NAN,7,60
1,1,1.0,1,0.556152344,1.0,1.0,1.0,0.0,388.671875,167.4804688,0.388671875,C,1.047655414,1,F,20,NAN,7,61
1,2,2.0,1,0.504882813,1.0,1.0,1.0,0.0,394.53125,110.3515625,0.39453125,C,1.215080239,1,F,20,NAN,7,62
1,1,1.0,1,0.665527344,1.0,1.0,1.0,0.0,516.6015625,148.9257813,0.516601563,C,0.950717932,1,F,20,NAN,7,63
1,2,2.0,2,0.607421875,1.0,1.0,1.0,0.0,470.703125,136.71875,0.470703125,C,0.98283028,1,F,20,NAN,7,64
1,2,2.0,3,0.575195313,1.0,1.0,1.0,0.0,455.5664063,119.6289063,0.455566406,C,1.164655248,1,F,20,NAN,7,65
1,1,2.0,0,0.752441406,0.0,3.0,2.0,1.0,643.5546875,108.8867188,0.385253906,C C I,0.975167782,1,F,20,NAN,7,66
1,2,1.0,2,0.534179688,0.0,2.0,0.0,2.0,434.0820313,100.0976563,0.3828125,I I,1.215242884,1,F,20,NAN,7,67
1,1,1.0,1,0.538085938,1.0,1.0,1.0,0.0,386.71875,151.3671875,0.38671875,C,1.077442909,1,F,20,NAN,7,68
1,1,1.0,3,0.497070313,1.0,1.0,1.0,0.0,337.890625,159.1796875,0.337890625,C,1.18515539,1,F,20,NAN,7,69
1,2,2.0,4,0.553710938,1.0,1.0,1.0,0.0,444.3359375,109.375,0.444335938,C,1.533030182,1,F,20,NAN,7,70
1,1,1.0,1,0.813964844,1.0,1.0,1.0,0.0,659.6679688,154.296875,0.659667969,C,1.005517922,1,F,20,NAN,8,1
1,2,2.0,3,0.62109375,1.0,1.0,1.0,0.0,508.3007813,112.7929688,0.508300781,C,1.216855238,1,F,20,NAN,8,2
1,1,1.0,2,0.520996094,1.0,1.0,1.0,0.0,369.140625,151.8554688,0.369140625,C,1.013355421,1,F,20,NAN,8,3
1,2,1.0,2,0.42578125,0.0,1.0,0.0,1.0,285.6445313,140.1367188,0.285644531,I,1.052367914,1,F,20,NAN,8,4
1,2,1.0,0,0.655761719,0.0,1.0,0.0,1.0,518.0664063,137.6953125,0.518066406,I,0.954517931,1,F,20,NAN,8,5
1,1,1.0,2,0.565429688,1.0,1.0,1.0,0.0,433.1054688,132.3242188,0.433105469,C,0.936405434,1,F,20,NAN,8,6
1,1,2.0,1,0.529296875,0.0,1.0,0.0,1.0,332.5195313,196.7773438,0.332519531,I,1.03799277,1,F,20,NAN,8,7
1,2,2.0,1,0.592773438,1.0,3.0,1.0,2.0,411.1328125,181.640625,0.2578125,I I C,1.091017761,1,F,20,NAN,8,8
1,1,1.0,1,0.637695313,1.0,3.0,3.0,0.0,515.625,122.0703125,0.224121094,C C C,1.042730415,1,F,20,NAN,8,9
1,2,1.0,1,0.53515625,0.0,1.0,0.0,1.0,374.0234375,161.1328125,0.374023438,I,0.975517927,1,F,20,NAN,8,10
1,2,2.0,3,0.516113281,1.0,1.0,1.0,0.0,406.7382813,109.375,0.406738281,C,1.651067661,1,F,20,NAN,8,11
1,1,1.0,1,0.653320313,1.0,2.0,2.0,0.0,530.7617188,122.5585938,0.438476563,C C,1.040130416,1,F,20,NAN,8,12
1,2,2.0,2,0.901855469,1.0,2.0,1.0,1.0,761.71875,140.1367188,0.41015625,I C,1.359530213,1,F,20,NAN,8,13
1,1,1.0,1,1.032714844,1.0,2.0,2.0,0.0,941.40625,91.30859375,0.608398438,C C,1.175117892,1,F,20,NAN,8,14
1,1,1.0,1,0.671386719,1.0,1.0,1.0,0.0,513.1835938,158.203125,0.513183594,C,1.051205414,1,F,20,NAN,8,15
1,2,2.0,2,0.598144531,1.0,1.0,1.0,0.0,466.3085938,131.8359375,0.466308594,C,1.054417768,1,F,20,NAN,8,16
1,2,2.0,2,1.036621094,1.0,2.0,2.0,0.0,927.2460938,109.375,0.53515625,C C,1.213992739,1,F,20,NAN,8,17
1,1,1.0,1,0.662597656,1.0,1.0,1.0,0.0,487.3046875,175.2929688,0.487304688,C,0.843767951,1,F,20,NAN,8,18
1,2,2.0,2,0.892089844,1.0,2.0,2.0,0.0,803.2226563,88.8671875,0.478515625,C C,1.462717695,1,F,20,NAN,8,19
1,1,1.0,2,0.565917969,1.0,1.0,1.0,0.0,420.8984375,145.0195313,0.420898438,C,1.021005419,1,F,20,NAN,8,20
1,2,2.0,1,0.646972656,1.0,1.0,1.0,0.0,533.6914063,113.28125,0.533691406,C,1.021105273,1,F,20,NAN,8,21
1,2,2.0,2,0.87890625,1.0,4.0,2.0,2.0,801.7578125,77.1484375,0.310546875,I I C C,1.134092753,1,F,20,NAN,8,22
1,2,2.0,1,0.676757813,1.0,1.0,1.0,0.0,548.3398438,128.4179688,0.548339844,C,1.071767764,1,F,20,NAN,8,23
1,2,1.0,1,0.485351563,0.0,3.0,0.0,3.0,360.8398438,124.5117188,0.174316406,I I I,1.029592918,1,F,20,NAN,8,24
1,2,1.0,1,1.104980469,0.0,2.0,0.0,2.0,971.6796875,133.3007813,0.579101563,I I,0.979967927,1,F,20,NAN,8,25
1,1,2.0,1,0.903320313,0.0,1.0,0.0,1.0,802.2460938,101.0742188,0.802246094,I,1.259730231,1,F,20,NAN,8,26
1,1,2.0,1,0.573730469,0.0,1.0,0.0,1.0,438.4765625,135.2539063,0.438476563,I,0.973980282,1,F,20,NAN,8,27
1,2,1.0,2,0.51171875,0.0,1.0,0.0,1.0,313.4765625,198.2421875,0.313476563,I,1.01613042,1,F,20,NAN,8,28
1,2,2.0,1,0.651855469,1.0,1.0,1.0,0.0,544.4335938,107.421875,0.544433594,C,1.145830251,1,F,20,NAN,8,29
1,1,2.0,1,0.70703125,0.0,1.0,0.0,1.0,585.4492188,121.5820313,0.585449219,I,1.143330252,1,F,20,NAN,8,30
1,2,1.0,2,0.717285156,0.0,1.0,0.0,1.0,584.4726563,132.8125,0.584472656,I,0.954255431,1,F,20,NAN,8,31
1,2,2.0,2,0.6484375,1.0,1.0,1.0,0.0,522.9492188,125.4882813,0.522949219,C,1.129180254,1,F,20,NAN,8,32
1,2,2.0,2,1.15234375,1.0,2.0,2.0,0.0,1074.21875,78.125,0.708007813,C C,1.603742669,1,F,20,NAN,8,33
1,1,1.0,2,0.814453125,1.0,3.0,2.0,1.0,660.6445313,153.8085938,0.221191406,C I C,1.18573039,1,F,20,NAN,8,34
1,2,1.0,1,0.729003906,0.0,1.0,0.0,1.0,598.6328125,130.3710938,0.598632813,I,1.088417907,1,F,20,NAN,8,35
1,1,1.0,1,0.627929688,1.0,1.0,1.0,0.0,462.4023438,165.5273438,0.462402344,C,0.947167932,1,F,20,NAN,8,36
1,1,1.0,1,0.637695313,1.0,1.0,1.0,0.0,519.0429688,118.6523438,0.519042969,C,1.047817914,1,F,20,NAN,8,37
1,1,1.0,1,0.816894531,1.0,2.0,2.0,0.0,619.140625,197.7539063,0.461425781,C C,0.853930449,1,F,20,NAN,8,38
1,2,2.0,2,0.747070313,1.0,1.0,1.0,0.0,598.1445313,148.9257813,0.598144531,C,0.964742784,1,F,20,NAN,8,39
1,2,1.0,1,0.902832031,0.0,1.0,0.0,1.0,726.0742188,176.7578125,0.726074219,I,0.90368044,1,F,20,NAN,8,40
1,2,2.0,3,0.767089844,1.0,2.0,1.0,1.0,640.625,126.4648438,0.513183594,I C,1.146430251,1,F,20,NAN,8,41
1,2,2.0,2,0.643066406,1.0,1.0,1.0,0.0,531.25,111.8164063,0.53125,C,1.26715523,1,F,20,NAN,8,42
1,1,1.0,1,0.564453125,1.0,3.0,3.0,0.0,406.25,158.203125,0.169921875,C C C,0.917230438,1,F,20,NAN,8,43
1,1,1.0,3,0.659667969,1.0,1.0,1.0,0.0,504.8828125,154.7851563,0.504882813,C,1.064780411,1,F,20,NAN,8,44
1,1,1.0,3,0.670898438,1.0,1.0,1.0,0.0,499.5117188,171.3867188,0.499511719,C,1.088267907,1,F,20,NAN,8,45
1,1,2.0,0,0.771972656,0.0,2.0,1.0,1.0,622.0703125,149.9023438,0.45703125,C I,1.031617772,1,F,20,NAN,8,46
1,1,1.0,3,0.477050781,1.0,2.0,2.0,0.0,308.1054688,168.9453125,0.0859375,C C,1.089305407,1,F,20,NAN,8,47
1,1,1.0,2,0.830566406,1.0,1.0,1.0,0.0,627.4414063,203.125,0.627441406,C,1.001405423,1,F,20,NAN,8,48
1,2,2.0,4,0.534179688,1.0,1.0,1.0,0.0,406.7382813,127.4414063,0.406738281,C,1.086955262,1,F,20,NAN,8,49
1,2,1.0,1,0.966796875,0.0,3.0,0.0,3.0,878.90625,87.890625,0.468261719,I I I,1.18720539,1,F,20,NAN,8,50
1,2,2.0,4,0.618164063,1.0,1.0,1.0,0.0,514.1601563,104.0039063,0.514160156,C,1.238605235,1,F,20,NAN,8,51
1,2,2.0,4,0.610839844,1.0,1.0,1.0,0.0,490.234375,120.6054688,0.490234375,C,1.112692757,1,F,20,NAN,8,52
1,2,2.0,2,0.747070313,1.0,1.0,1.0,0.0,622.5585938,124.5117188,0.622558594,C,1.03979277,1,F,20,NAN,8,53
1,1,1.0,1,0.711425781,1.0,1.0,1.0,0.0,532.7148438,178.7109375,0.532714844,C,0.973005428,1,F,20,NAN,8,54
1,2,2.0,3,0.717773438,1.0,2.0,1.0,1.0,607.421875,110.3515625,0.444335938,I C,1.080630263,1,F,20,NAN,8,55
