Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Task,Condition,Block,Accuracy
1,1,NAN,NAN,NAN,NAN,0.638820073,perception,1,2,0
1,2,2.0,3.0,2.285329316,0.417150998,0.092757043,perception,1,2,1
1,1,1.0,4.0,1.995622654,0.450325879,0.092757043,perception,1,2,1
1,2,2.0,3.0,1.273968359,0.56724316,0.092757043,perception,1,2,1
1,1,2.0,1.0,4.4958005,1.484556289,0.621798188,perception,1,2,0
1,2,2.0,3.0,2.339448297,0.683736755,0.092757043,perception,1,2,1
1,1,NAN,NAN,NAN,NAN,0.092757043,perception,1,2,0
1,2,2.0,4.0,1.713589177,0.667311444,0.05,perception,1,2,1
1,2,2.0,4.0,0.977114512,1.050928021,0.05,perception,1,2,1
1,2,2.0,4.0,2.290394311,3.085721635,0.05,perception,1,2,1
1,2,NAN,NAN,NAN,NAN,0.585309959,perception,1,2,0
1,2,2.0,4.0,0.877500705,0.333770063,0.05,perception,1,2,1
1,1,1.0,4.0,1.447548985,0.533693665,0.05,perception,1,2,1
1,1,1.0,4.0,0.818238471,0.483587037,0.05,perception,1,2,1
1,2,1.0,2.0,3.708851008,0.767390633,0.56576622,perception,1,2,0
1,2,2.0,4.0,1.120231081,0.316829657,0.05,perception,1,2,1
1,2,2.0,4.0,0.81914967,1.584641571,0.05,perception,1,2,1
1,2,2.0,3.0,1.039427225,0.417140414,0.05,perception,1,2,1
1,1,1.0,3.0,3.058071678,1.534609033,0.545301412,perception,1,2,1
1,1,1.0,1.0,4.553369591,1.067597088,0.545301412,perception,1,2,1
1,1,2.0,2.0,3.161736967,0.367233282,0.545301412,perception,1,2,0
1,1,1.0,4.0,1.153343099,0.767393519,0.05,perception,1,2,1
1,2,2.0,4.0,2.133441377,1.585091237,0.05,perception,1,2,1
1,1,1.0,3.0,2.242980867,2.852228011,0.05,perception,1,2,1
1,1,1.0,2.0,2.582205614,2.518660329,0.523872128,perception,1,2,1
1,1,2.0,2.0,1.716157917,0.350433357,0.523872128,perception,1,2,0
1,1,1.0,4.0,1.010272715,0.383772452,0.05,perception,1,2,1
1,2,2.0,4.0,0.975994838,0.433820386,0.05,perception,1,2,1
1,1,1.0,4.0,0.724969699,1.267611136,0.05,perception,1,2,1
1,1,2.0,1.0,4.644674202,1.251076776,0.501432913,perception,1,2,0
1,2,2.0,4.0,1.296568396,0.450527299,0.05,perception,1,2,1
1,2,2.0,3.0,1.340843479,4.219608188,0.05,perception,1,2,1
1,2,2.0,3.0,2.676162676,0.383769245,0.05,perception,1,2,1
1,2,1.0,1.0,3.29053864,0.617054073,0.489819793,perception,1,2,0
1,1,1.0,4.0,1.422173336,0.400490591,0.05,perception,1,2,1
1,2,2.0,4.0,1.977351853,0.867473991,0.05,perception,1,2,1
1,2,2.0,3.0,3.880676269,1.584633553,0.05,perception,1,2,1
1,1,2.0,2.0,4.060278632,0.467164934,0.47793617,perception,1,2,0
1,2,2.0,4.0,1.132129585,0.366880798,0.05,perception,1,2,1
1,1,1.0,4.0,0.823676156,2.018287158,0.05,perception,1,2,1
1,1,1.0,4.0,0.758279608,1.584406796,0.05,perception,1,2,1
1,1,1.0,1.0,3.578894059,0.433795048,0.465775741,perception,1,2,1
1,2,1.0,1.0,4.094899693,0.66733165,0.465775741,perception,1,2,0
1,2,2.0,4.0,1.230537761,0.300410761,0.05,perception,1,2,1
1,2,2.0,4.0,1.466079899,1.201025956,0.05,perception,1,2,1
1,1,1.0,4.0,3.074402693,0.367104989,0.05,perception,1,2,1
1,2,1.0,1.0,3.532958227,0.533875199,0.45333206,perception,1,2,0
1,1,1.0,1.0,1.08457983,1.934695181,0.05,perception,1,2,1
1,2,2.0,4.0,2.480646187,0.533865044,0.12,perception,2,1,1
1,1,1.0,1.0,3.56898303,0.433809269,0.721719566,perception,2,1,1
1,2,2.0,2.0,3.431353098,5.754096158,0.75,perception,2,1,1
1,1,2.0,1.0,4.656292247,1.818158346,0.75,perception,2,1,0
1,2,2.0,1.0,4.90614912,3.652794977,0.278992124,perception,2,1,1
1,1,2.0,1.0,4.593876058,0.417126357,0.278992124,perception,2,1,0
1,1,1.0,4.0,1.23280127,1.467898024,0.05,perception,2,1,1
1,1,1.0,4.0,1.05888011,0.400472952,0.05,perception,2,1,1
1,1,1.0,4.0,0.788911693,0.817229825,0.05,perception,2,1,1
1,1,1.0,3.0,1.444664146,0.317042357,0.655075848,perception,2,1,1
1,2,2.0,2.0,4.901619732,1.234394349,0.655075848,perception,2,1,1
1,1,1.0,1.0,3.793205662,2.8022484,0.655075848,perception,2,1,1
1,2,2.0,2.0,3.721272693,1.601384411,0.75,perception,2,1,1
1,1,1.0,1.0,4.635237748,0.68399361,0.75,perception,2,1,1
1,1,2.0,2.0,3.911326708,0.433817287,0.75,perception,2,1,0
1,1,2.0,1.0,4.268455521,0.517220941,0.342433002,perception,2,1,0
1,2,2.0,4.0,1.794433107,0.383787796,0.05,perception,2,1,1
1,1,1.0,3.0,0.922093063,1.80147351,0.05,perception,2,1,1
1,2,2.0,4.0,0.983660914,0.350416199,0.05,perception,2,1,1
1,1,2.0,2.0,3.975258679,0.333512623,0.621798188,perception,2,1,0
1,1,1.0,4.0,0.742117432,1.017573266,0.05,perception,2,1,1
1,2,2.0,3.0,0.981292303,1.868182065,0.05,perception,2,1,1
1,2,2.0,4.0,0.839322215,0.717102526,0.05,perception,2,1,1
1,1,2.0,3.0,2.61575933,0.300398254,0.603974086,perception,2,1,0
1,1,1.0,4.0,0.933119854,0.450499557,0.05,perception,2,1,1
1,2,2.0,3.0,0.987430806,1.284224666,0.05,perception,2,1,1
1,1,1.0,4.0,0.643422526,2.90227531,0.05,perception,2,1,1
1,2,2.0,1.0,3.146477024,0.367087243,0.585309959,perception,2,1,1
1,2,2.0,2.0,3.708767004,1.451213829,0.585309959,perception,2,1,1
1,1,1.0,2.0,3.700547266,2.185142955,0.585309959,perception,2,1,1
1,1,2.0,1.0,3.487902443,2.285071721,0.75,perception,2,1,0
1,1,2.0,2.0,2.720256933,1.56796727,0.427283087,perception,2,1,0
1,1,1.0,4.0,1.192499281,0.450506613,0.05,perception,2,1,1
1,1,1.0,4.0,0.789762918,1.117655662,0.05,perception,2,1,1
1,2,2.0,4.0,1.273627015,0.450507576,0.05,perception,2,1,1
1,2,2.0,2.0,2.413020657,0.450267026,0.56576622,perception,2,1,1
1,2,2.0,2.0,4.277840802,1.034236613,0.56576622,perception,2,1,1
1,1,1.0,1.0,3.652064989,0.500539312,0.56576622,perception,2,1,1
1,2,1.0,1.0,4.328419067,1.167660457,0.75,perception,2,1,0
1,1,1.0,2.0,4.608343669,0.433825305,0.453059594,perception,2,1,1
1,1,1.0,2.0,4.451210301,0.550561427,0.453059594,perception,2,1,1
1,2,1.0,2.0,4.591411227,2.818866203,0.453059594,perception,2,1,0
1,1,1.0,4.0,0.864991416,0.450495067,0.05,perception,2,1,1
1,2,2.0,4.0,1.231881408,1.351133999,0.05,perception,2,1,1
1,1,1.0,3.0,0.75998032,1.601329886,0.05,perception,2,1,1
1,1,1.0,1.0,3.148261901,1.084359758,0.545301412,perception,2,1,1
1,2,2.0,2.0,2.857478573,0.350414916,0.545301412,perception,2,1,1
1,2,2.0,1.0,3.556605314,0.350423255,0.545301412,perception,2,1,1
1,1,1.0,2.0,4.539918553,0.901485666,0.75,perception,2,1,1
1,1,2.0,1.0,4.236209055,1.968248745,0.75,perception,2,1,0
1,1,2.0,1.0,4.423892213,0.43380991,0.477675967,perception,2,1,0
1,2,2.0,4.0,1.652433191,0.533892627,0.05,perception,2,1,1
1,2,2.0,4.0,0.935287686,0.917506906,0.05,perception,2,1,1
1,2,2.0,4.0,1.247132569,0.950646934,0.05,perception,2,1,1
1,1,1.0,3.0,2.925854616,0.317072506,0.523872128,perception,2,1,1
1,1,2.0,1.0,3.971768145,1.117679717,0.523872128,perception,2,1,0
1,1,1.0,4.0,1.026393095,0.350422934,0.05,perception,2,1,1
1,1,1.0,4.0,0.747719029,0.350435443,0.05,perception,2,1,1
1,2,2.0,3.0,1.801586729,0.333758625,0.05,perception,2,1,1
1,2,1.0,2.0,3.784781939,0.350436726,0.501432913,perception,2,1,0
1,1,1.0,3.0,1.506009729,0.633955779,0.12,perception,2,2,1
1,2,1.0,3.0,4.071624745,1.084308762,0.721719566,perception,2,2,0
1,1,1.0,3.0,1.420849422,1.167431454,0.197430461,perception,2,2,1
1,1,1.0,3.0,1.063731834,0.350423255,0.197430461,perception,2,2,1
1,1,1.0,2.0,4.022073787,0.383452309,0.197430461,perception,2,2,1
1,1,NAN,NAN,NAN,NAN,0.708604613,perception,2,2,0
1,1,1.0,3.0,1.026268971,0.30038767,0.233552041,perception,2,2,1
1,1,1.0,3.0,2.266009293,0.433811834,0.233552041,perception,2,2,1
1,2,2.0,3.0,1.963131134,3.21915281,0.233552041,perception,2,2,1
1,1,2.0,2.0,1.716021657,1.784850255,0.694871572,perception,2,2,0
1,1,1.0,3.0,2.597318803,3.485846226,0.233552041,perception,2,2,1
1,1,2.0,2.0,3.767454675,3.302543314,0.233552041,perception,2,2,0
