Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,difficulty,Task,Condition,Block,Accuracy
1,2,2.0,4.0,2.945227689,0.53388867,0.12,perception,1,3,1
1,2,2.0,1.0,4.021146481,0.300367462,0.721719566,perception,1,3,1
1,1,2.0,2.0,3.129551864,0.417008914,0.75,perception,1,3,0
1,1,1.0,2.0,2.444001051,0.350418924,0.278992124,perception,1,3,1
1,1,1.0,2.0,1.51035819,0.383778226,0.278992124,perception,1,3,1
1,2,2.0,1.0,4.267439544,0.7506927,0.278992124,perception,1,3,1
1,2,NAN,NAN,NAN,NAN,0.738217863,perception,1,3,0
1,1,2.0,1.0,1.915050687,2.251781103,0.311442824,perception,1,3,0
1,2,2.0,4.0,1.084598753,2.535082754,0.05,perception,1,3,1
1,1,1.0,1.0,2.068951859,0.333740235,0.05,perception,1,3,1
1,1,1.0,4.0,1.805210992,2.2184388,0.05,perception,1,3,1
1,1,NAN,NAN,NAN,NAN,0.621798188,perception,1,3,0
1,2,2.0,1.0,0.933851016,0.667311765,0.05,perception,1,3,1
1,2,2.0,1.0,1.863066496,0.950846587,0.05,perception,1,3,1
1,2,2.0,4.0,1.626857558,1.768117411,0.05,perception,1,3,1
1,2,NAN,NAN,NAN,NAN,0.603974086,perception,1,3,0
1,1,1.0,1.0,0.981694881,0.550330979,0.05,perception,1,3,1
1,1,1.0,4.0,0.767798924,0.417126943,0.05,perception,1,3,1
1,2,2.0,4.0,1.434020522,0.366950397,0.05,perception,1,3,1
1,1,2.0,1.0,0.939181576,0.267020348,0.585309959,perception,1,3,0
1,2,2.0,1.0,1.444336857,0.934161484,0.05,perception,1,3,1
1,1,1.0,4.0,1.806992656,0.350436885,0.05,perception,1,3,1
1,2,2.0,4.0,1.104059148,2.78549754,0.05,perception,1,3,1
1,1,1.0,1.0,3.582815004,0.834109237,0.56576622,perception,1,3,1
1,1,1.0,4.0,4.3719227,2.868640171,0.56576622,perception,1,3,1
1,1,NAN,NAN,NAN,NAN,0.56576622,perception,1,3,0
1,2,2.0,4.0,1.141296417,0.367110121,0.05,perception,1,3,1
1,1,1.0,1.0,1.472962159,2.184936131,0.05,perception,1,3,1
1,1,1.0,4.0,1.587174389,1.251080946,0.05,perception,1,3,1
1,2,2.0,2.0,3.320258279,0.366830122,0.545301412,perception,1,3,1
1,2,1.0,1.0,2.251919339,0.400447292,0.545301412,perception,1,3,0
1,1,1.0,4.0,1.634948335,0.450481434,0.05,perception,1,3,1
1,1,1.0,4.0,0.779937656,0.600401364,0.05,perception,1,3,1
1,1,1.0,4.0,0.965743612,1.317620902,0.05,perception,1,3,1
1,2,1.0,1.0,2.262503805,0.684013226,0.523872128,perception,1,3,0
1,2,2.0,4.0,0.962090478,0.350218466,0.05,perception,1,3,1
1,2,2.0,4.0,0.82750024,1.334469258,0.05,perception,1,3,1
