Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
1,1,NAN,4.0,NAN,1.868,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
1,2,2.0,3.0,0.896,2.146,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
2,2,2.0,4.0,1.823,8.221,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
2,1,2.0,4.0,0.838,1.409,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
3,2,2.0,1.0,1.7,3.653,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
3,1,NAN,1.0,NAN,1.545,1,NAN,2,0,NAN,NAN,NAN,NAN,NAN
4,1,1.0,4.0,1.52,4.084,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
4,2,1.0,4.0,1.077,1.264,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
5,1,NAN,2.0,NAN,10.451,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
5,2,NAN,3.0,NAN,9.114,1,NAN,2,0,NAN,NAN,NAN,NAN,NAN
6,1,1.0,4.0,2.969,4.287,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
6,2,2.0,3.0,0.65,2.125,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
7,1,1.0,4.0,2.568,6.28,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
7,2,2.0,4.0,2.12,2.313,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
8,1,NAN,4.0,NAN,4.065,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
8,2,2.0,4.0,0.133,1.521,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
9,1,2.0,4.0,2.451,2.877,1,0.0,1,0,NAN,NAN,NAN,NAN,NAN
9,2,2.0,4.0,1.237,1.117,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
10,1,1.0,2.0,2.568,3.62,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
10,2,2.0,4.0,1.158,2.318,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
11,1,1.0,4.0,2.287,2.347,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
11,2,2.0,4.0,1.98,2.253,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
12,2,2.0,4.0,1.633,3.096,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
12,1,1.0,4.0,2.334,1.677,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
13,1,NAN,4.0,NAN,8.478,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
13,2,2.0,4.0,2.083,5.094,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
14,1,1.0,3.0,2.804,6.316,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
14,2,2.0,3.0,1.635,2.775,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
15,1,2.0,4.0,0.895,2.147,1,0.0,1,0,NAN,NAN,NAN,NAN,NAN
15,2,2.0,4.0,1.005,2.913,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
16,2,NAN,4.0,NAN,5.329,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
16,1,1.0,4.0,1.552,1.154,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
17,1,NAN,4.0,NAN,4.037,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
17,2,2.0,4.0,1.32,1.99,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
18,1,NAN,4.0,NAN,3.25,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
18,2,2.0,4.0,1.301,1.37,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
19,2,NAN,2.0,NAN,3.766,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
19,1,1.0,4.0,1.326,0.871,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
20,1,NAN,3.0,NAN,11.733,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
20,2,1.0,2.0,1.811,5.351,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
21,2,2.0,4.0,1.327,2.688,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
