Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Condition,Accuracy,Trial,Block,Sol_letters,Tar_letters,Sol_freq,Tar_freq,Letter_changed
21,1,2.0,4.0,1.996,1.708,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
22,2,2.0,4.0,0.895,3.475,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
22,1,2.0,4.0,1.632,0.97,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
23,1,NAN,4.0,NAN,7.513,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
23,2,1.0,4.0,0.136,2.596,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
24,2,2.0,4.0,2.189,6.429,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
24,1,1.0,4.0,2.338,2.001,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
25,2,2.0,4.0,1.079,6.089,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
25,1,1.0,4.0,2.645,2.383,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
26,1,NAN,1.0,NAN,6.344,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
26,2,1.0,4.0,0.229,1.454,1,0.0,2,0,NAN,NAN,NAN,NAN,NAN
27,2,NAN,4.0,NAN,4.26,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
27,1,NAN,4.0,NAN,1.422,1,NAN,2,0,NAN,NAN,NAN,NAN,NAN
28,1,NAN,4.0,NAN,3.686,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
28,2,2.0,4.0,1.317,1.531,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
29,2,2.0,4.0,1.27,6.63,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
29,1,1.0,4.0,1.874,2.845,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
30,2,NAN,4.0,NAN,11.65,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
30,1,1.0,4.0,0.82,0.775,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
31,1,1.0,4.0,2.111,3.892,1,1.0,1,0,NAN,NAN,NAN,NAN,NAN
31,2,2.0,4.0,1.023,1.892,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
32,2,NAN,4.0,NAN,4.512,1,NAN,1,0,NAN,NAN,NAN,NAN,NAN
32,1,1.0,4.0,1.432,1.528,1,1.0,2,0,NAN,NAN,NAN,NAN,NAN
33,1,1.0,4.0,0.701,4.8,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
33,2,1.0,1.0,0.459,4.696,2,0.0,2,0,NAN,NAN,NAN,NAN,NAN
34,1,1.0,4.0,2.329,3.434,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
34,2,2.0,4.0,0.86,1.656,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
35,2,1.0,1.0,1.435,7.888,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
35,1,1.0,4.0,1.295,3.274,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
36,2,2.0,4.0,1.709,3.639,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
36,1,2.0,3.0,2.081,4.78,2,0.0,2,0,NAN,NAN,NAN,NAN,NAN
37,1,1.0,4.0,2.18,2.443,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
37,2,2.0,4.0,0.693,1.288,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
38,2,1.0,2.0,1.698,4.62,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
38,1,2.0,4.0,1.821,2.434,2,0.0,2,0,NAN,NAN,NAN,NAN,NAN
39,2,2.0,4.0,1.955,3.395,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
39,1,1.0,4.0,1.273,5.765,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
40,1,1.0,4.0,0.872,11.156,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
40,2,2.0,4.0,1.576,1.96,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
41,2,2.0,4.0,0.912,2.73,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
41,1,1.0,4.0,1.342,2.008,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
42,1,1.0,4.0,2.422,3.747,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
42,2,2.0,4.0,2.374,1.814,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
43,1,NAN,4.0,NAN,6.558,2,NAN,1,0,NAN,NAN,NAN,NAN,NAN
43,2,2.0,4.0,1.201,1.28,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
44,2,2.0,4.0,1.626,3.767,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
44,1,1.0,4.0,1.327,2.601,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
45,1,NAN,1.0,NAN,0.569,2,NAN,1,0,NAN,NAN,NAN,NAN,NAN
45,2,2.0,4.0,0.779,4.842,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
46,2,2.0,4.0,2.804,4.514,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
46,1,1.0,4.0,2.009,2.312,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
47,1,2.0,2.0,1.505,5.714,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
47,2,2.0,4.0,0.924,2.55,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
48,1,NAN,4.0,NAN,4.457,2,NAN,1,0,NAN,NAN,NAN,NAN,NAN
48,2,NAN,4.0,NAN,3.72,2,NAN,2,0,NAN,NAN,NAN,NAN,NAN
49,2,2.0,4.0,1.137,2.979,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
49,1,1.0,4.0,1.303,3.505,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
50,2,2.0,4.0,1.056,5.365,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
50,1,1.0,3.0,0.876,6.04,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
51,1,1.0,2.0,2.472,7.071,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
51,2,2.0,4.0,2.165,7.449,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
52,1,1.0,4.0,2.777,2.968,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
52,2,2.0,4.0,0.936,2.706,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
53,1,1.0,4.0,2.609,3.478,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
53,2,2.0,4.0,0.964,3.804,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
54,1,1.0,4.0,2.012,5.386,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
54,2,2.0,4.0,1.131,1.453,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
55,1,1.0,4.0,1.353,2.496,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
55,2,2.0,4.0,0.838,1.075,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
56,1,2.0,4.0,2.229,3.076,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
56,2,2.0,4.0,1.807,1.935,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
57,2,1.0,4.0,0.32,12.77,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
57,1,NAN,1.0,NAN,0.333,2,NAN,2,0,NAN,NAN,NAN,NAN,NAN
58,2,2.0,4.0,1.413,5.705,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
58,1,NAN,3.0,NAN,5.987,2,NAN,2,0,NAN,NAN,NAN,NAN,NAN
59,1,1.0,3.0,1.636,6.418,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
59,2,2.0,4.0,1.598,1.517,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
60,1,1.0,4.0,2.344,7.943,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
60,2,NAN,2.0,NAN,0.041,2,NAN,2,0,NAN,NAN,NAN,NAN,NAN
61,1,1.0,4.0,2.145,12.381,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
61,2,2.0,4.0,1.356,2.723,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
62,2,2.0,4.0,1.768,3.359,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
62,1,1.0,4.0,1.713,3.416,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
63,1,1.0,1.0,1.643,4.44,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
63,2,2.0,4.0,0.871,1.217,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
64,2,2.0,4.0,1.495,3.007,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
64,1,NAN,1.0,NAN,0.615,2,NAN,2,0,NAN,NAN,NAN,NAN,NAN
65,1,2.0,4.0,1.741,4.946,2,0.0,1,0,NAN,NAN,NAN,NAN,NAN
65,2,2.0,4.0,0.819,3.043,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
66,1,1.0,4.0,1.08,3.274,2,1.0,1,0,NAN,NAN,NAN,NAN,NAN
66,2,2.0,4.0,0.864,1.101,2,1.0,2,0,NAN,NAN,NAN,NAN,NAN
67,1,1.0,NAN,1.293,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
67,2,1.0,4.0,0.537,0.827,3,0.0,2,0,NAN,NAN,NAN,NAN,NAN
68,2,2.0,4.0,2.965,2.24,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
68,1,1.0,4.0,1.612,1.296,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
69,2,2.0,NAN,2.494,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
69,1,NAN,4.0,NAN,2.658,3,NAN,2,0,NAN,NAN,NAN,NAN,NAN
70,2,2.0,NAN,1.824,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
70,1,1.0,NAN,2.126,NAN,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
71,1,1.0,4.0,2.696,2.393,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
71,2,2.0,4.0,0.884,1.038,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
72,1,1.0,NAN,1.929,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
72,2,2.0,4.0,1.361,1.103,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
73,2,2.0,NAN,2.034,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
73,1,1.0,4.0,0.713,2.387,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
74,1,2.0,NAN,2.858,NAN,3,0.0,1,0,NAN,NAN,NAN,NAN,NAN
74,2,1.0,NAN,2.443,NAN,3,0.0,2,0,NAN,NAN,NAN,NAN,NAN
75,1,1.0,NAN,1.983,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
75,2,2.0,4.0,1.541,1.28,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
76,2,2.0,NAN,1.837,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
76,1,1.0,4.0,0.59,0.715,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
77,2,2.0,4.0,1.194,1.92,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
77,1,1.0,4.0,0.855,1.98,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
78,1,1.0,NAN,2.611,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
78,2,2.0,NAN,1.779,NAN,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
79,1,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
79,2,2.0,NAN,1.223,NAN,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
80,1,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
80,2,NAN,NAN,NAN,NAN,3,NAN,2,0,NAN,NAN,NAN,NAN,NAN
81,2,2.0,NAN,1.599,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
81,1,1.0,4.0,2.426,1.63,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
82,1,1.0,NAN,1.68,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
82,2,2.0,4.0,1.382,1.859,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
83,2,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
83,1,2.0,4.0,2.885,1.727,3,0.0,2,0,NAN,NAN,NAN,NAN,NAN
84,1,1.0,NAN,1.93,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
84,2,2.0,4.0,0.853,0.825,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
85,1,1.0,NAN,1.53,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
85,2,2.0,4.0,1.0,1.326,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
86,2,2.0,4.0,1.155,1.422,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
86,1,1.0,4.0,0.918,1.371,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
87,1,1.0,NAN,0.876,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
87,2,2.0,4.0,1.141,1.718,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
88,1,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
88,2,2.0,4.0,1.824,2.188,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
89,1,1.0,NAN,2.587,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
89,2,2.0,4.0,1.013,1.003,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
90,1,1.0,4.0,1.219,2.934,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
90,2,2.0,4.0,1.06,1.318,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
91,2,2.0,NAN,2.149,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
91,1,1.0,NAN,1.254,NAN,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
92,2,2.0,4.0,2.353,2.395,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
92,1,1.0,4.0,1.053,2.423,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
93,2,2.0,4.0,1.839,2.006,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
93,1,1.0,4.0,1.201,2.645,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
94,1,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
94,2,1.0,NAN,1.279,NAN,3,0.0,2,0,NAN,NAN,NAN,NAN,NAN
95,2,NAN,NAN,NAN,NAN,3,NAN,1,0,NAN,NAN,NAN,NAN,NAN
95,1,2.0,4.0,0.668,1.506,3,0.0,2,0,NAN,NAN,NAN,NAN,NAN
96,2,2.0,NAN,1.995,NAN,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
96,1,1.0,4.0,1.498,2.684,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
97,1,1.0,3.0,0.989,2.308,3,1.0,1,0,NAN,NAN,NAN,NAN,NAN
97,2,2.0,4.0,0.592,0.825,3,1.0,2,0,NAN,NAN,NAN,NAN,NAN
