Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,3,1,121,3.0,0.78528,4.6332,3,2.1744,1,0.77096
1,3,2,122,3.0,0.52243,3.6878,2,0.37726,0,0.13949
1,3,3,123,3.0,0.54857,3.0172,2,2.7999,1,0.054545
1,3,4,124,1.5,1.2486,2.2311,3,2.5878,1,0.41786
1,3,5,125,3.0,0.62254,4.5132,2,0.87003,1,0.058947
1,3,6,126,1.5,0.60358,1.7356,3,0.96717,1,1.119
1,3,7,127,3.0,0.36881,3.4348,3,0.96126,0,1.6798
1,3,8,128,3.0,0.51627,3.4316,2,1.2141,1,0.95111
1,3,9,129,3.0,1.0894,3.9617,3,1.7837,1,0.027206
1,3,10,130,3.0,0.45435,3.2116,1,1.7725,1,0.5703
1,3,11,131,3.0,0.68378,3.5313,2,1.6386,1,1.2712
1,3,12,132,1.5,1.0147,1.62,2,2.2071,0,0.84692
1,3,13,133,1.5,0.48974,2.0631,2,1.8486,0,0.014445
1,3,14,134,3.0,0.69715,3.8084,2,2.6548,1,0.03048
1,3,15,135,3.0,0.44729,4.0169,1,2.2002,1,0.014578
1,3,16,136,3.0,1.0754,3.6005,1,1.7617,1,0.088242
1,3,17,137,3.0,1.2698,4.7077,2,1.9138,1,0.0412
1,3,18,138,3.0,0.99258,3.5656,2,1.1508,1,0.030427
1,3,19,139,1.5,0.7537,2.122,3,1.0813,0,1.6909
1,3,20,140,1.5,0.64831,3.3684,2,0.97505,1,0.42422
1,3,21,141,1.5,0.71767,1.7187,2,2.4933,1,0.68584
1,3,22,142,3.0,3.0149,3.1145,1,1.6262,0,1.2633
1,3,23,143,1.5,0.53166,2.5547,2,6.1687,0,0.070731
1,3,24,144,3.0,0.66964,3.7348,1,1.8662,1,0.039205
1,3,25,145,3.0,0.62797,3.6687,2,0.69816,1,0.58038
1,3,26,146,1.5,0.46881,1.9589,3,2.8368,1,1.4148
1,3,27,147,1.5,1.3471,2.1687,2,2.4158,1,1.7932
1,3,28,148,3.0,1.4847,3.2171,3,2.6503,0,0.038041
1,3,29,149,3.0,0.1631,3.0789,1,2.0488,1,0.02718
1,3,30,150,3.0,2.709,3.3473,2,2.3489,1,0.10479
1,3,31,151,1.5,1.384,1.6425,2,1.8242,0,0.09793
1,3,32,152,3.0,0.58386,5.194,2,0.85429,1,0.10983
1,3,33,153,1.5,0.99402,1.9267,2,0.40129,1,0.096578
1,3,34,154,3.0,0.4071,3.3512,1,1.3619,1,0.054848
1,3,35,155,3.0,0.48723,2.9982,1,2.7884,1,0.06846
1,3,36,156,3.0,0.67031,4.1972,2,4.6601,1,0.016764
1,3,37,157,1.5,0.47433,2.3645,2,1.7235,1,0.93474
1,3,38,158,3.0,8.0189,3.5692,2,4.0766,0,0.042629
1,3,39,159,3.0,3.7187,4.4412,1,2.2651,1,0.091828
1,3,40,160,1.5,0.66493,2.8546,1,4.1796,1,1.4974
1,3,41,161,3.0,0.80797,4.0395,2,1.7273,1,3.1011
1,3,42,162,3.0,3.6955,5.6094,1,2.402,1,1.3403
