Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
1,40,40.0,7,3.25818,1.26847,3,42,100,0
1,51,32.0,7,4.0212,1.86883,3,42,2000,1
1,36,31.0,7,4.298305,1.262425,3,42,2000,1
1,46,36.0,6,3.21757,1.278565,3,42,100,0
1,48,40.0,7,1.770655,1.209845,3,42,100,0
1,31,28.0,7,1.90625,1.218265,3,42,2000,1
1,39,30.0,7,1.754675,1.0913,3,42,2000,1
1,28,29.0,7,2.259,1.17381,3,42,100,0
1,52,37.0,6,2.19045,1.23203,3,42,100,0
1,40,41.0,8,2.15171,1.705555,3,42,2000,1
1,52,36.0,7,1.943245,1.08854,3,42,100,0
1,42,35.0,7,1.845255,1.05985,3,42,2000,1
1,35,32.0,6,1.84649,1.199365,3,42,100,0
1,41,34.0,7,2.604405,1.24514,3,42,2000,1
1,32,30.0,7,1.56906,1.7831,3,42,100,0
1,50,35.0,8,2.42647,2.023595,3,42,2000,1
1,32,26.0,6,2.086485,1.376575,3,42,100,0
1,47,36.0,8,2.216665,1.60533,3,42,2000,1
1,28,25.0,7,4.573995,2.286725,3,42,2000,1
1,57,40.0,7,2.45365,2.727205,3,42,100,0
1,48,42.0,6,1.90402,1.439795,3,42,100,0
1,49,45.0,7,1.82906,1.868825,3,42,2000,1
1,41,38.0,6,3.57364,1.751415,3,42,2000,1
1,57,36.0,8,2.33889,1.69023,3,42,100,0
2,20,22.0,5,5.19375,3.83839,1,31,2000,1
2,28,27.0,5,4.652625,2.54266,1,31,100,0
2,40,32.0,1,6.074865,2.69469,1,31,100,0
2,21,22.0,8,3.73036,2.294775,1,31,2000,1
2,17,17.0,9,4.040795,2.75866,1,31,2000,1
2,26,31.0,2,8.081185,2.8707,1,31,100,0
2,29,28.0,3,5.42234,3.030475,1,31,100,0
2,25,26.0,7,3.516125,2.350945,1,31,2000,1
2,40,33.0,5,3.045365,1.870495,1,31,2000,1
2,38,37.0,2,7.91074,5.8067,1,31,100,0
2,38,25.0,7,6.24069,3.2944,1,31,100,0
2,28,30.0,6,3.824105,2.214675,1,31,2000,1
2,32,NAN,4,NAN,3.693945,1,31,100,0
2,41,40.0,3,4.84531,1.926665,1,31,2000,1
2,22,19.0,7,4.05851,1.94268,1,31,2000,1
2,46,37.0,5,6.120675,4.68691,1,31,100,0
2,30,32.0,6,8.75365,3.41435,1,31,100,0
2,27,27.0,8,3.94925,2.72671,1,31,2000,1
2,41,35.0,6,4.76509,1.98273,1,31,100,0
2,28,32.0,8,5.40369,3.46255,1,31,2000,1
2,18,23.0,4,6.50306,3.03013,1,31,100,0
2,31,34.0,5,4.540145,1.93463,1,31,2000,1
2,20,21.0,9,2.892945,2.96643,1,31,2000,1
2,18,15.0,9,3.65034,1.718435,1,31,100,0
2,43,38.0,5,5.47192,5.0544,1,31,2000,1
2,41,39.0,3,5.236175,5.18285,1,31,100,0
2,21,20.0,10,4.14298,1.9105,1,31,2000,1
2,40,40.0,2,4.557415,3.35057,1,31,100,0
2,28,25.0,0,5.557715,3.79885,1,31,100,0
2,35,42.0,1,4.173555,2.87063,1,31,2000,1
2,23,27.0,5,3.8627,1.97466,1,31,2000,1
2,27,30.0,4,5.17213,2.09433,1,31,100,0
