Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Block,AveStim,Duration,Condition
1,34,29.0,7,1.520585,1.26849,4,35,2000,1
1,41,28.0,7,2.22142,1.45339,4,35,100,0
1,44,28.0,7,2.15062,1.703575,4,35,100,0
1,25,22.0,6,1.774725,1.221595,4,35,2000,1
1,24,26.0,7,3.159955,1.646525,4,35,2000,1
1,22,18.0,8,3.68491,1.10481,4,35,100,0
1,21,21.0,7,1.469375,1.205525,4,35,2000,1
1,29,25.0,7,2.431635,1.106605,4,35,100,0
1,34,28.0,7,2.217515,0.995675,4,35,100,0
1,35,31.0,8,1.69282,1.01031,4,35,2000,1
1,36,36.0,7,1.89179,1.258735,4,35,2000,1
1,25,27.0,7,2.11247,1.02064,4,35,100,0
1,20,25.0,7,2.23933,1.039645,4,35,100,0
1,23,26.0,7,2.221755,1.125605,4,35,2000,1
1,23,24.0,7,2.029545,1.540235,4,35,2000,1
1,26,30.0,6,1.80729,1.197465,4,35,100,0
1,23,24.0,7,2.0884,1.20504,4,35,2000,1
1,38,29.0,7,1.97184,1.06548,4,35,100,0
1,49,38.0,7,1.653375,1.22319,4,35,2000,1
1,30,32.0,6,2.22843,1.36606,4,35,100,0
1,47,42.0,7,1.70871,1.26458,4,35,2000,1
1,36,34.0,8,2.39389,1.531895,4,35,100,0
1,40,35.0,7,4.264855,1.07927,4,35,2000,1
1,38,28.0,7,2.49681,1.28364,4,35,100,0
1,22,24.0,6,2.068845,1.20355,4,35,2000,1
1,37,29.0,6,1.962875,1.236005,4,35,100,0
1,46,34.0,6,2.43718,1.352825,4,35,2000,1
1,28,33.0,8,4.19851,1.09281,4,35,100,0
1,22,30.0,7,2.09049,1.105475,4,35,2000,1
1,50,35.0,7,1.848825,1.14716,4,35,100,0
1,46,43.0,8,1.80483,1.043725,4,35,2000,1
1,26,25.0,6,2.21808,1.253105,4,35,100,0
1,25,24.0,7,2.46309,1.607135,4,35,100,0
1,27,26.0,7,3.025595,1.591575,4,35,2000,1
1,47,37.0,6,2.258885,1.343675,4,35,2000,1
1,21,26.0,6,2.52869,1.335295,4,35,100,0
1,46,38.0,7,2.60732,1.11469,4,35,2000,1
1,28,29.0,7,2.1521,1.41636,4,35,100,0
1,24,26.0,7,2.18254,1.083415,4,35,100,0
1,37,31.0,7,2.26617,1.694815,4,35,2000,1
1,23,24.0,6,1.95388,1.23216,5,34,2000,1
1,46,32.0,7,2.003665,1.5694,5,34,100,0
1,36,30.0,6,2.980545,1.633225,5,34,2000,1
1,29,26.0,7,2.05509,1.11585,5,34,100,0
1,33,27.0,6,2.57243,1.281905,5,34,100,0
1,38,34.0,7,2.11708,1.11686,5,34,2000,1
1,46,40.0,7,1.58417,1.11911,5,34,2000,1
1,49,42.0,8,2.232035,1.705555,5,34,100,0
1,49,36.0,7,2.230825,1.111995,5,34,2000,1
1,29,35.0,7,3.695515,1.17377,5,34,100,0
1,33,28.0,8,1.88393,1.50162,5,34,2000,1
1,43,32.0,7,1.85103,1.153375,5,34,100,0
1,31,34.0,6,2.0822,1.197245,5,34,100,0
1,43,32.0,6,1.60527,1.15188,5,34,2000,1
1,25,27.0,8,2.8158,0.93941,5,34,100,0
1,31,25.0,7,1.89592,1.80191,5,34,2000,1
1,19,17.0,6,2.19469,2.610245,5,34,2000,1
1,34,27.0,8,2.234375,1.39834,5,34,100,0
1,19,20.0,6,3.22891,1.900325,5,34,100,0
1,19,18.0,7,2.257535,1.084945,5,34,2000,1
1,38,30.0,7,3.184905,1.0842,5,34,100,0
1,40,35.0,6,2.362245,1.317745,5,34,2000,1
1,27,28.0,6,2.08644,1.286485,5,34,100,0
1,29,27.0,7,2.071485,1.194235,5,34,2000,1
1,22,24.0,6,2.011,1.21306,5,34,2000,1
1,41,30.0,7,1.979035,1.69486,5,34,100,0
1,20,22.0,6,2.184535,1.236555,5,34,100,0
1,40,31.0,8,1.695795,1.5749,5,34,2000,1
1,33,28.0,7,1.80854,1.199515,5,34,100,0
1,41,36.0,6,2.016435,2.36268,5,34,2000,1
1,43,32.0,7,1.786065,1.624915,5,34,2000,1
1,42,34.0,8,1.991425,1.124355,5,34,100,0
1,47,28.0,7,1.755115,1.24097,5,34,2000,1
1,34,27.0,8,1.91455,0.973855,5,34,100,0
1,32,30.0,7,1.588885,1.02225,5,34,2000,1
1,21,26.0,8,2.213165,1.148345,5,34,100,0
1,45,32.0,7,2.68228,1.083475,5,34,100,0
1,40,31.0,8,1.695065,0.925585,5,34,2000,1
1,32,26.0,6,2.09632,1.29158,5,34,2000,1
1,38,29.0,8,2.138035,1.329305,5,34,100,0
1,33,28.0,7,2.30576,1.112545,6,33,2000,1
1,18,15.0,6,2.551275,1.713885,6,33,100,0
1,40,29.0,8,3.15706,1.01693,6,33,2000,1
1,42,32.0,8,1.575995,0.990695,6,33,100,0
1,38,30.0,8,1.461835,0.925195,6,33,2000,1
1,28,28.0,7,1.572845,1.06605,6,33,100,0
1,43,32.0,6,1.56625,1.58878,6,33,100,0
1,42,35.0,7,1.487495,1.055995,6,33,2000,1
1,28,28.0,6,1.324445,1.146355,6,33,2000,1
1,28,26.0,7,2.33325,1.032025,6,33,100,0
1,47,36.0,7,1.91838,1.02609,6,33,2000,1
1,35,34.0,7,1.816325,1.24007,6,33,100,0
1,43,34.0,8,1.790805,0.95519,6,33,2000,1
1,45,35.0,7,2.225615,0.981135,6,33,100,0
1,23,24.0,7,1.387795,1.07527,6,33,2000,1
1,36,26.0,6,2.624175,1.307885,6,33,100,0
1,25,27.0,7,1.975655,1.05103,6,33,100,0
1,28,26.0,6,2.04869,1.3048,6,33,2000,1
1,26,27.0,8,2.14628,0.94544,6,33,2000,1
1,46,30.0,7,2.651965,1.127275,6,33,100,0
1,42,29.0,7,2.02111,1.02485,6,33,100,0
1,48,34.0,7,1.426055,1.08663,6,33,2000,1
1,36,30.0,7,1.496955,1.00647,6,33,2000,1
1,42,38.0,6,2.22454,1.136685,6,33,100,0
1,19,28.0,8,2.12288,1.01459,6,33,100,0
1,37,29.0,8,1.876075,0.994745,6,33,2000,1
1,29,25.0,6,2.190965,1.1728,6,33,100,0
1,40,30.0,7,1.972915,1.085215,6,33,2000,1
1,19,25.0,6,1.97812,1.136815,6,33,100,0
1,37,26.0,7,1.87619,1.266885,6,33,2000,1
1,44,31.0,7,1.79567,1.022415,6,33,2000,1
1,25,32.0,7,2.218935,1.152855,6,33,100,0
1,38,28.0,6,1.941105,1.17856,6,33,2000,1
1,18,18.0,7,2.17575,1.164525,6,33,100,0
1,34,26.0,5,3.94906,1.43385,6,33,100,0
1,46,36.0,7,1.766135,1.144595,6,33,2000,1
1,24,20.0,6,1.61491,1.25539,6,33,2000,1
1,41,26.0,6,2.138335,1.193665,6,33,100,0
1,35,27.0,8,1.97341,0.94556,6,33,100,0
1,46,30.0,6,1.52228,1.148195,6,33,2000,1
2,44,40.0,4,5.21134,2.589775,4,32,2000,1
2,18,20.0,7,4.28759,3.509085,4,32,100,0
2,43,42.0,7,4.58976,2.037735,4,32,2000,1
2,17,19.0,6,3.87876,2.12669,4,32,100,0
2,41,35.0,8,4.477975,2.302015,4,32,2000,1
2,47,37.0,5,7.70522,2.717435,4,32,100,0
2,24,28.0,5,4.27485,1.677985,4,32,2000,1
2,45,38.0,8,4.410875,2.844855,4,32,100,0
2,24,23.0,5,3.9926,2.71817,4,32,100,0
2,21,20.0,7,3.577185,2.357055,4,32,2000,1
2,26,27.0,8,3.77778,2.7182,4,32,2000,1
2,46,35.0,6,3.8933,2.142415,4,32,100,0
2,43,39.0,9,4.184845,2.09403,4,32,2000,1
2,34,31.0,7,4.886235,2.150335,4,32,100,0
2,43,34.0,5,4.509775,1.886315,4,32,100,0
2,40,38.0,5,4.367275,2.510635,4,32,2000,1
2,22,26.0,5,4.372885,2.87776,4,32,100,0
2,26,28.0,7,4.29588,2.134535,4,32,2000,1
2,18,23.0,5,6.117995,2.59782,4,32,100,0
2,30,29.0,7,4.757995,2.214355,4,32,2000,1
2,43,42.0,6,3.75491,2.053965,4,32,2000,1
2,45,39.0,5,3.89757,2.02132,4,32,100,0
2,35,29.0,4,6.28694,3.14171,4,32,100,0
2,18,19.0,9,4.21317,2.132955,4,32,2000,1
2,18,20.0,10,4.358005,2.389915,4,32,100,0
2,36,35.0,6,4.21983,2.277055,4,32,2000,1
2,27,28.0,7,4.31563,3.09411,4,32,2000,1
2,39,29.0,6,4.100565,2.21315,4,32,100,0
2,26,26.0,6,4.00589,1.653925,4,32,2000,1
2,41,35.0,5,4.763985,1.88502,4,32,100,0
2,28,30.0,6,4.178915,2.485965,4,32,2000,1
2,27,26.0,5,4.639105,1.59024,4,32,100,0
2,22,28.0,10,4.602895,1.55778,4,32,2000,1
2,18,19.0,7,3.930225,2.91711,4,32,100,0
2,21,22.0,7,3.68625,2.23791,4,32,100,0
2,19,23.0,7,3.585045,2.70105,4,32,2000,1
2,28,25.0,6,3.610855,3.030065,4,32,100,0
2,19,24.0,6,3.657615,1.790275,4,32,2000,1
2,35,32.0,7,4.76528,5.054015,4,32,2000,1
2,30,24.0,7,3.844415,2.588825,4,32,100,0
2,32,32.0,6,4.588225,3.74184,5,37,2000,1
2,31,31.0,6,3.638435,2.214385,5,37,100,0
2,52,36.0,6,3.65419,2.21391,5,37,100,0
2,22,22.0,7,3.794615,3.30217,5,37,2000,1
2,46,41.0,6,3.79555,2.765895,5,37,2000,1
2,42,32.0,3,4.91698,2.686095,5,37,100,0
2,23,29.0,6,4.091555,1.46993,5,37,100,0
2,31,32.0,8,4.07229,2.22241,5,37,2000,1
2,35,41.0,5,6.275515,1.757785,5,37,2000,1
2,31,29.0,6,4.406205,3.37451,5,37,100,0
2,26,27.0,5,3.467315,1.725815,5,37,2000,1
2,46,35.0,7,3.684015,3.26902,5,37,100,0
2,52,52.0,6,3.88184,2.29384,5,37,2000,1
2,36,40.0,5,4.102825,2.070335,5,37,100,0
2,42,39.0,5,4.708095,2.461615,5,37,100,0
2,48,41.0,4,4.51499,3.31036,5,37,2000,1
2,24,25.0,8,3.671575,3.09379,5,37,2000,1
2,52,38.0,7,3.776425,2.27847,5,37,100,0
2,43,34.0,6,3.767525,2.82991,5,37,100,0
2,37,34.0,3,6.65479,3.57354,5,37,2000,1
2,29,28.0,6,4.560975,2.86976,5,37,100,0
2,24,28.0,7,3.84969,2.230275,5,37,2000,1
2,42,36.0,5,4.401535,1.517835,5,37,100,0
2,51,43.0,6,3.728305,1.97409,5,37,2000,1
2,28,30.0,7,3.805275,2.326005,5,37,2000,1
2,44,40.0,6,4.69544,1.86198,5,37,100,0
2,25,31.0,4,3.97694,3.70979,5,37,100,0
2,32,31.0,4,3.473965,1.654265,5,37,2000,1
2,45,40.0,6,3.72897,2.061755,5,37,2000,1
2,28,29.0,5,3.690025,1.83023,5,37,100,0
2,47,37.0,5,4.685925,3.085635,5,37,2000,1
2,34,30.0,4,5.827705,2.19026,5,37,100,0
2,36,32.0,5,3.487255,1.509545,5,37,100,0
2,41,41.0,6,3.37552,2.974135,5,37,2000,1
2,31,32.0,5,3.489145,2.013865,5,37,2000,1
2,43,37.0,6,3.85058,3.00648,5,37,100,0
2,47,34.0,5,5.134055,1.66956,5,37,2000,1
2,24,26.0,7,3.903325,2.614435,5,37,100,0
2,46,36.0,6,4.41707,2.92555,5,37,100,0
2,22,24.0,7,4.28928,2.31021,5,37,2000,1
2,38,36.0,5,4.517235,1.65383,6,40,100,0
2,29,30.0,6,4.81261,2.030135,6,40,2000,1
2,38,29.0,5,5.718335,2.61343,6,40,100,0
