Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Order,Scale,Block
109,2,2,4.0,0.60137,1.77442,3,DS,PAS,1
109,1,1,4.0,1.11366,0.383,3,DS,PAS,1
109,2,2,2.0,13.80537,0.18011,7,DS,PAS,1
109,1,2,3.0,0.90941,0.22564,3,DS,PAS,1
109,2,2,4.0,0.50828,0.13907,5,DS,PAS,1
109,1,1,4.0,0.71667,0.66407,4,DS,PAS,1
109,2,2,4.0,1.0451,0.07161,9,DS,PAS,1
109,2,2,4.0,0.63516,0.1049,3,DS,PAS,1
109,2,2,4.0,0.6397,0.31315,7,DS,PAS,1
109,1,2,4.0,0.51228,0.08041,11,DS,PAS,1
109,1,1,1.0,1.73895,0.51013,4,DS,PAS,1
109,1,1,4.0,0.78335,0.02955,11,DS,PAS,1
109,2,2,4.0,0.82951,0.857,5,DS,PAS,1
109,2,2,4.0,0.83953,0.27233,1,DS,PAS,1
109,1,1,4.0,1.19233,0.02139,7,DS,PAS,1
109,2,2,4.0,0.9172,0.26661,8,DS,PAS,1
109,1,1,4.0,1.30563,0.23271,7,DS,PAS,1
109,2,2,4.0,0.75337,0.34862,6,DS,PAS,1
109,2,2,4.0,0.95934,0.42646,9,DS,PAS,1
109,1,1,4.0,1.17968,0.09983,11,DS,PAS,1
109,2,2,4.0,0.83301,0.38531,5,DS,PAS,1
109,1,1,4.0,1.42637,0.15743,9,DS,PAS,1
109,2,2,4.0,1.03872,0.4698,7,DS,PAS,1
109,1,1,4.0,1.11031,0.85564,2,DS,PAS,1
109,2,2,4.0,1.1949,0.13698,6,DS,PAS,1
109,1,1,4.0,1.19032,0.44143,1,DS,PAS,1
109,2,2,4.0,1.65668,0.0739,1,DS,PAS,1
109,2,2,4.0,1.14086,0.00457,10,DS,PAS,1
109,1,1,4.0,1.6671,0.10849,2,DS,PAS,1
109,1,1,4.0,2.28861,5.2268,8,DS,PAS,1
109,2,2,4.0,1.03679,0.11084,6,DS,PAS,1
109,2,2,3.0,0.94614,0.38166,11,DS,PAS,1
109,2,2,4.0,1.28399,0.18235,5,DS,PAS,1
109,1,1,2.0,1.50301,0.22974,9,DS,PAS,1
109,2,2,4.0,0.8691,0.18924,9,DS,PAS,1
109,1,1,3.0,0.91488,0.10692,10,DS,PAS,1
109,1,1,4.0,1.43127,0.10618,2,DS,PAS,1
109,2,2,4.0,0.9977,0.14483,10,DS,PAS,1
109,1,1,4.0,0.82468,0.15626,4,DS,PAS,1
109,2,2,4.0,1.39445,0.26005,8,DS,PAS,1
109,1,1,4.0,0.86272,0.06496,4,DS,PAS,1
109,1,1,3.0,1.06609,0.14751,8,DS,PAS,1
109,1,1,4.0,0.82748,0.02355,8,DS,PAS,1
109,1,1,4.0,1.0184,0.03082,1,DS,PAS,1
109,1,1,4.0,1.38252,0.02826,5,DS,PAS,1
109,2,2,4.0,1.38297,0.10678,8,DS,PAS,1
109,2,1,1.0,4.60274,0.14764,12,DS,PAS,1
109,1,1,4.0,1.06535,0.22621,10,DS,PAS,1
109,1,1,4.0,0.87097,0.19231,1,DS,PAS,1
109,1,1,4.0,1.1956,0.06413,10,DS,PAS,1
109,2,2,4.0,0.98952,0.35133,1,DS,PAS,1
109,2,2,4.0,0.95311,0.07091,5,DS,PAS,1
109,2,2,4.0,0.83737,0.11157,9,DS,PAS,1
109,1,1,4.0,0.54715,0.62162,4,DS,PAS,1
109,1,1,4.0,0.55685,0.49576,1,DS,PAS,1
109,2,2,4.0,0.59077,0.15483,5,DS,PAS,1
109,2,2,4.0,0.67938,0.37557,10,DS,PAS,1
109,2,2,4.0,0.58722,1.10313,3,DS,PAS,1
109,1,1,1.0,1.14927,0.11003,12,DS,PAS,1
109,2,2,4.0,1.1041,2.6883,9,DS,PAS,1
109,2,2,4.0,0.55814,0.77322,6,DS,PAS,1
109,1,1,1.0,1.58906,0.07407,3,DS,PAS,1
109,1,1,4.0,0.66213,0.06451,1,DS,PAS,1
109,2,2,4.0,0.91039,0.14094,6,DS,PAS,1
109,2,2,4.0,1.69608,0.45972,8,DS,PAS,1
109,2,2,4.0,1.22225,0.31093,4,DS,PAS,1
109,1,1,4.0,0.78441,0.22869,6,DS,PAS,1
109,2,2,4.0,0.59054,0.82888,11,DS,PAS,1
109,2,2,3.0,16.48787,0.10967,3,DS,PAS,1
109,1,1,1.0,1.41758,0.50577,12,DS,PAS,1
109,2,2,4.0,0.99704,0.73885,4,DS,PAS,1
109,2,2,4.0,1.07128,0.23081,7,DS,PAS,1
109,2,2,4.0,1.30641,0.03425,8,DS,PAS,1
109,1,1,4.0,1.06878,0.07096,2,DS,PAS,1
109,2,2,4.0,1.07539,0.07636,9,DS,PAS,1
109,1,1,4.0,1.0608,0.10268,6,DS,PAS,1
109,1,1,4.0,0.99116,0.03224,5,DS,PAS,1
109,1,1,2.0,1.42361,0.0755,12,DS,PAS,1
109,1,1,4.0,0.98057,0.22487,1,DS,PAS,1
109,1,1,4.0,0.99643,0.02589,9,DS,PAS,1
109,1,1,4.0,1.21903,0.03133,4,DS,PAS,1
109,2,2,4.0,1.22773,0.02232,3,DS,PAS,1
109,1,1,4.0,1.11318,0.02571,7,DS,PAS,1
109,1,1,4.0,1.45672,0.11474,10,DS,PAS,1
109,1,1,4.0,1.46247,0.10397,8,DS,PAS,1
109,1,1,4.0,1.27006,0.23055,2,DS,PAS,1
109,1,1,4.0,1.26324,0.38242,4,DS,PAS,1
109,1,1,2.0,1.33963,0.27312,11,DS,PAS,1
109,2,1,1.0,1.19302,0.22039,12,DS,PAS,1
109,2,2,4.0,1.07473,3.50831,4,DS,PAS,1
109,1,2,3.0,1.03684,1.22774,11,DS,PAS,1
109,1,1,4.0,1.21998,0.11154,3,DS,PAS,1
109,2,2,4.0,1.06582,0.10665,2,DS,PAS,1
109,2,2,4.0,0.91905,0.14943,8,DS,PAS,1
109,2,2,4.0,1.03079,0.03443,1,DS,PAS,1
109,2,2,4.0,1.23071,0.14436,2,DS,PAS,1
109,1,1,4.0,1.10185,0.06443,1,DS,PAS,1
109,1,1,4.0,1.14512,0.22254,10,DS,PAS,1
109,2,2,4.0,0.91812,0.2278,10,DS,PAS,1
109,2,2,1.0,1.69957,1.37517,12,DS,PAS,1
109,1,1,4.0,1.01882,0.03124,6,DS,PAS,1
109,2,2,4.0,0.83111,0.42314,9,DS,PAS,1
109,2,1,1.0,1.98611,0.11052,12,DS,PAS,1
109,2,2,4.0,1.14438,0.26027,7,DS,PAS,1
22,1,2,4.0,0.5247,2.87351,3,DS,PAS,1
22,2,2,2.0,1.27264,2.13412,12,DS,PAS,1
22,1,2,1.0,0.87104,1.89511,12,DS,PAS,1
22,1,2,4.0,0.78627,1.19707,7,DS,PAS,1
22,2,2,4.0,0.82865,1.44994,10,DS,PAS,1
22,2,2,4.0,0.87081,1.10226,2,DS,PAS,1
22,1,1,4.0,0.83047,0.58114,8,DS,PAS,1
22,2,2,4.0,0.59203,0.4563,11,DS,PAS,1
22,1,2,2.0,1.27431,0.85076,11,DS,PAS,1
22,1,2,4.0,0.87219,2.25307,4,DS,PAS,1
22,1,2,4.0,0.83334,0.42451,6,DS,PAS,1
22,1,2,4.0,1.17995,0.34135,5,DS,PAS,1
22,2,2,4.0,0.84036,0.69206,4,DS,PAS,1
22,1,1,2.0,1.37085,0.98395,9,DS,PAS,1
22,1,1,4.0,0.8688,0.78411,6,DS,PAS,1
22,1,2,2.0,0.87222,1.06855,5,DS,PAS,1
22,2,2,4.0,0.83758,0.5473,10,DS,PAS,1
22,2,2,4.0,0.75008,0.46406,9,DS,PAS,1
22,2,2,4.0,0.7899,0.34691,2,DS,PAS,1
22,2,2,3.0,1.54261,0.43285,12,DS,PAS,1
22,2,2,2.0,1.14867,0.66063,11,DS,PAS,1
22,1,1,3.0,0.82259,1.3432,2,DS,PAS,1
22,2,2,4.0,0.74513,0.34029,8,DS,PAS,1
22,2,2,4.0,1.09976,0.02763,2,DS,PAS,1
22,2,2,4.0,0.70784,0.22645,10,DS,PAS,1
22,2,2,4.0,0.78553,0.26803,4,DS,PAS,1
22,1,2,1.0,1.86417,0.26242,9,DS,PAS,1
22,1,1,4.0,0.94372,0.37943,5,DS,PAS,1
22,2,2,4.0,0.66486,0.38306,1,DS,PAS,1
22,1,2,2.0,1.18864,0.19165,8,DS,PAS,1
22,2,2,4.0,1.02206,0.27109,2,DS,PAS,1
22,2,2,4.0,0.67805,0.30016,7,DS,PAS,1
22,2,2,4.0,0.79284,0.13964,4,DS,PAS,1
22,2,2,4.0,0.64928,0.10684,6,DS,PAS,1
22,2,2,3.0,1.45677,1.34225,11,DS,PAS,1
22,2,1,2.0,2.20762,0.50665,12,DS,PAS,1
22,2,2,2.0,1.17869,0.26079,11,DS,PAS,1
22,2,2,4.0,0.74694,0.22323,7,DS,PAS,1
22,1,1,1.0,1.2716,0.46965,11,DS,PAS,1
22,1,1,4.0,0.75253,0.30914,3,DS,PAS,1
22,1,1,3.0,1.30573,0.629,9,DS,PAS,1
22,1,1,2.0,1.14137,0.31423,8,DS,PAS,1
22,1,1,3.0,0.78703,0.38957,2,DS,PAS,1
22,1,1,2.0,0.97233,0.86686,10,DS,PAS,1
22,1,1,4.0,0.82879,0.18303,6,DS,PAS,1
22,2,2,4.0,0.79237,0.09966,4,DS,PAS,1
22,2,1,1.0,1.97837,0.93495,12,DS,PAS,1
22,1,1,3.0,0.86965,0.23014,10,DS,PAS,1
22,2,2,4.0,0.82917,1.39235,6,DS,PAS,1
22,2,2,4.0,1.33411,0.30591,2,DS,PAS,1
22,2,2,4.0,0.79832,0.26418,11,DS,PAS,1
22,1,1,4.0,0.82674,0.77566,7,DS,PAS,1
22,1,1,4.0,0.74152,0.25877,7,DS,PAS,1
22,1,1,4.0,0.70223,0.15027,5,DS,PAS,1
22,1,1,4.0,0.79009,0.19428,2,DS,PAS,1
22,2,2,4.0,0.86613,0.14635,1,DS,PAS,1
22,2,2,4.0,1.18558,0.18844,3,DS,PAS,1
22,1,1,4.0,0.88243,0.30577,1,DS,PAS,1
22,1,1,4.0,0.87427,1.56606,8,DS,PAS,1
22,1,1,3.0,1.05085,0.46579,11,DS,PAS,1
22,2,2,4.0,0.79167,0.21796,5,DS,PAS,1
22,1,1,3.0,0.86995,0.19094,6,DS,PAS,1
22,2,2,4.0,0.74394,0.19712,7,DS,PAS,1
22,1,1,4.0,0.62817,0.77727,7,DS,PAS,1
22,1,1,4.0,0.58458,0.6253,3,DS,PAS,1
22,2,2,4.0,0.82377,0.3126,1,DS,PAS,1
22,2,2,4.0,0.86768,0.34604,1,DS,PAS,1
22,2,2,4.0,0.6785,0.37994,10,DS,PAS,1
22,2,2,4.0,0.63058,0.37758,8,DS,PAS,1
22,2,2,4.0,0.86586,0.62188,3,DS,PAS,1
22,1,1,3.0,0.91318,0.38208,5,DS,PAS,1
22,2,2,4.0,0.7913,0.4323,2,DS,PAS,1
22,1,1,1.0,1.14511,0.30143,12,DS,PAS,1
22,2,2,4.0,0.75432,0.42875,3,DS,PAS,1
22,1,1,1.0,1.77558,0.30008,12,DS,PAS,1
22,1,1,1.0,0.94801,0.26488,12,DS,PAS,1
22,2,2,2.0,0.79088,0.13785,11,DS,PAS,1
