Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,Difficulty,Order,Scale,Block
109,2,2,3.0,1.63351,0.97933,5,DS,PAS,2
109,1,1,4.0,0.98376,0.22819,1,DS,PAS,2
109,1,1,4.0,1.5947,0.301,9,DS,PAS,2
109,2,2,4.0,1.15115,0.38609,4,DS,PAS,2
109,2,2,4.0,1.31146,0.18114,7,DS,PAS,2
109,2,2,4.0,1.18789,0.03242,5,DS,PAS,2
109,2,2,4.0,1.1099,0.17985,2,DS,PAS,2
109,2,2,4.0,1.4642,2.13549,6,DS,PAS,2
109,2,1,1.0,9.51312,0.07636,10,DS,PAS,2
109,2,2,4.0,0.98018,0.30265,10,DS,PAS,2
109,1,1,4.0,0.9117,0.26238,3,DS,PAS,2
109,1,2,2.0,1.3441,0.22023,11,DS,PAS,2
109,2,2,4.0,2.81897,0.26675,3,DS,PAS,2
109,2,2,4.0,3.17267,13.79048,11,DS,PAS,2
109,1,1,4.0,0.86435,0.30491,6,DS,PAS,2
109,2,2,4.0,1.03653,0.26443,10,DS,PAS,2
109,1,1,4.0,0.70441,0.20135,6,DS,PAS,2
109,2,2,4.0,0.99334,0.21978,4,DS,PAS,2
109,1,1,4.0,0.64375,0.18185,2,DS,PAS,2
109,2,2,4.0,0.4356,0.22921,6,DS,PAS,2
109,2,2,4.0,0.99584,0.26273,7,DS,PAS,2
109,1,1,4.0,1.16005,0.22076,5,DS,PAS,2
109,2,2,1.0,0.75821,0.33728,12,DS,PAS,2
109,1,1,4.0,0.43737,0.06314,2,DS,PAS,2
109,2,2,4.0,0.48998,0.21677,1,DS,PAS,2
109,1,1,4.0,0.51325,0.21989,2,DS,PAS,2
109,2,2,4.0,0.40035,0.38664,11,DS,PAS,2
109,2,2,4.0,0.51935,1.85529,9,DS,PAS,2
109,1,1,4.0,0.95293,0.07201,1,DS,PAS,2
109,1,2,1.0,0.44237,0.25901,9,DS,PAS,2
109,2,2,4.0,0.54796,0.4236,10,DS,PAS,2
109,2,2,4.0,1.15734,0.31594,3,DS,PAS,2
109,2,2,4.0,0.64985,0.39571,6,DS,PAS,2
109,1,1,4.0,0.46891,0.15099,5,DS,PAS,2
109,2,2,4.0,0.67577,0.43466,4,DS,PAS,2
109,2,2,4.0,0.43794,0.11661,7,DS,PAS,2
109,1,1,4.0,0.39422,0.03027,5,DS,PAS,2
109,2,2,4.0,0.43403,0.60651,1,DS,PAS,2
109,1,1,4.0,0.55881,0.33891,5,DS,PAS,2
109,1,1,4.0,0.55832,0.23631,1,DS,PAS,2
109,1,1,1.0,0.83311,0.10867,12,DS,PAS,2
109,1,1,4.0,1.39411,0.37981,6,DS,PAS,2
109,2,1,1.0,1.61963,1.49869,12,DS,PAS,2
109,1,1,4.0,0.86741,0.06999,10,DS,PAS,2
109,1,1,4.0,0.79403,0.10292,4,DS,PAS,2
109,1,1,4.0,0.99185,0.02122,9,DS,PAS,2
109,1,1,4.0,1.15216,0.07103,9,DS,PAS,2
109,2,1,4.0,6.82177,0.06891,10,DS,PAS,2
109,2,2,4.0,1.00308,0.23831,4,DS,PAS,2
109,2,2,4.0,0.48137,0.26462,5,DS,PAS,2
109,2,2,4.0,1.02958,0.10386,9,DS,PAS,2
109,2,2,4.0,0.44076,0.05909,9,DS,PAS,2
109,1,1,4.0,0.66818,0.22927,4,DS,PAS,2
109,2,1,1.0,0.58839,0.2329,11,DS,PAS,2
109,1,1,4.0,1.02815,0.18266,6,DS,PAS,2
109,1,1,4.0,0.47288,0.31339,3,DS,PAS,2
109,2,2,4.0,0.90939,0.25891,3,DS,PAS,2
109,1,1,4.0,0.50512,0.23304,3,DS,PAS,2
109,1,1,3.0,0.5128,0.10523,10,DS,PAS,2
109,1,1,4.0,0.71645,0.06917,6,DS,PAS,2
109,2,1,1.0,1.5862,0.0713,12,DS,PAS,2
109,2,2,4.0,1.15529,0.07298,8,DS,PAS,2
109,2,2,3.0,0.87956,0.02453,8,DS,PAS,2
109,1,1,4.0,0.98018,0.06575,7,DS,PAS,2
109,1,1,4.0,0.59165,0.17985,3,DS,PAS,2
109,2,2,4.0,0.55263,0.1105,9,DS,PAS,2
109,1,1,1.0,1.10176,0.14519,12,DS,PAS,2
109,2,2,4.0,1.02693,0.22003,3,DS,PAS,2
109,2,2,4.0,0.95557,0.23211,1,DS,PAS,2
109,2,1,1.0,9.23485,0.17712,9,DS,PAS,2
109,2,1,1.0,1.19741,0.06622,12,DS,PAS,2
109,1,1,4.0,1.02818,0.35097,7,DS,PAS,2
109,2,1,2.0,1.30677,0.07546,11,DS,PAS,2
109,2,2,4.0,1.02397,0.03544,7,DS,PAS,2
109,1,1,4.0,0.99099,0.19562,1,DS,PAS,2
109,1,1,1.0,13.63239,0.18736,9,DS,PAS,2
109,1,1,1.0,0.8341,0.0303,8,DS,PAS,2
109,2,2,4.0,0.94953,0.18648,8,DS,PAS,2
109,1,1,1.0,1.15049,0.02969,12,DS,PAS,2
109,1,1,4.0,1.06688,0.02953,11,DS,PAS,2
109,1,1,4.0,1.025,0.10908,5,DS,PAS,2
109,1,1,4.0,0.81806,0.38845,5,DS,PAS,2
109,2,2,4.0,2.5829,0.10571,5,DS,PAS,2
109,2,2,4.0,1.39443,0.29968,6,DS,PAS,2
109,2,2,4.0,1.06625,0.34499,8,DS,PAS,2
109,2,2,4.0,1.22486,0.01955,5,DS,PAS,2
109,1,2,1.0,8.36998,1.49175,8,DS,PAS,2
109,1,1,1.0,1.27361,0.25728,11,DS,PAS,2
109,2,2,4.0,0.92,0.11108,10,DS,PAS,2
109,1,1,4.0,1.89519,0.26167,1,DS,PAS,2
109,1,1,4.0,0.94421,0.13788,9,DS,PAS,2
109,2,2,4.0,1.03633,0.11055,2,DS,PAS,2
109,1,1,4.0,1.9741,2.09761,10,DS,PAS,2
109,1,1,4.0,0.62331,0.07611,2,DS,PAS,2
109,1,1,4.0,1.1799,0.25913,8,DS,PAS,2
109,2,1,4.0,5.1446,0.1955,4,DS,PAS,2
109,1,1,4.0,0.90516,0.31228,7,DS,PAS,2
109,1,1,4.0,8.21755,0.53448,12,DS,PAS,2
109,1,1,4.0,0.86597,0.06858,2,DS,PAS,2
109,1,1,4.0,0.87211,0.19356,10,DS,PAS,2
109,1,1,4.0,0.90339,0.31029,11,DS,PAS,2
