Subj_idx,Stimulus,Response,Confidence,RT_dec,RT_conf,SN,Day,Accuracy,Condition,Block
1,1,1,4,0.655375869,0.24516367,0.147429374,1,1,1,10
1,2,2,2,2.296154122,0.349245132,0.116415037,1,1,1,10
1,1,1,3,1.003821527,0.577666302,0.116415037,1,1,1,10
1,1,1,2,1.528645195,0.570688319,0.089488037,1,1,1,10
1,2,2,2,1.296526532,0.427401947,0.089488037,1,1,1,10
1,2,1,1,2.423800607,0.310903548,0.066865445,1,0,1,10
1,2,2,1,1.111076301,0.315395635,0.089488037,1,1,1,10
1,2,2,2,1.258789012,0.296093791,0.089488037,1,1,1,10
1,1,1,1,2.249074862,0.319425592,0.066865445,1,1,1,10
1,1,1,1,1.47082934,0.372149934,0.066865445,1,1,1,10
1,2,2,2,1.233185537,0.274553972,0.048663428,1,1,1,10
1,1,2,1,1.073764742,0.246344982,0.048663428,1,0,1,10
1,2,1,1,0.681192618,0.27006894,0.062512158,1,0,1,10
1,2,1,2,1.13595601,0.386027882,0.076360888,1,0,1,10
1,1,1,1,1.88747307,0.62808503,0.093598368,1,1,1,10
1,2,1,2,1.350863065,0.577583546,0.093598368,1,0,1,10
1,2,1,1,1.110248836,0.265226654,0.116935768,1,0,1,10
1,1,1,1,3.116495195,0.223647621,0.140273168,1,1,1,10
1,1,1,2,0.931340434,0.302963266,0.140273168,1,1,1,10
1,2,2,2,0.940195274,0.31024807,0.3,1,1,2,11
1,2,1,3,0.869956551,0.291007666,0.3,1,0,2,11
1,2,2,4,1.428301379,0.33178487,0.344302832,1,1,2,11
1,1,1,4,0.491385761,0.231867434,0.344302832,1,1,2,11
1,1,1,4,0.522067493,0.245201851,0.297290258,1,1,2,11
1,2,2,4,0.88803938,0.292086278,0.297290258,1,1,2,11
1,1,1,4,0.517792195,0.336020519,0.253164671,1,1,2,11
1,2,2,4,0.879967969,0.315333569,0.253164671,1,1,2,11
1,1,1,4,0.812340128,0.299399553,0.212149696,1,1,2,11
1,2,2,4,0.700147998,0.288117299,0.212149696,1,1,2,11
1,1,1,4,0.559649961,0.313402268,0.174489727,1,1,2,11
1,2,2,4,0.858328081,0.248799037,0.174489727,1,1,2,11
1,1,1,4,1.115084652,0.271030865,0.140446145,1,1,2,11
1,2,1,4,1.007013786,0.262705047,0.140446145,1,0,2,11
1,2,2,4,0.95285259,0.292103664,0.170604965,1,1,2,11
