Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,1,1,1,2.1,1.6347,1.3304,2,2.3045,0,1.8267
1,1,2,2,2.1,1.1897,1.8649,2,2.5744,0,1.626
1,1,3,3,2.1,2.764,1.8337,1,5.2662,0,0.59032
1,1,4,4,2.1,1.9303,1.8571,1,2.8775,0,2.5393
1,1,5,5,2.1,2.2515,1.6712,1,2.9523,0,1.3614
1,1,6,6,2.1,1.2025,1.985,3,1.5424,1,3.3641
1,1,7,7,2.1,0.94547,1.9392,3,0.92837,1,1.1847
1,1,8,8,2.1,0.96528,1.9134,2,2.7412,1,1.2432
1,1,9,9,2.1,1.4051,1.9078,2,1.7407,0,0.51486
1,1,10,10,2.1,0.67507,1.6881,2,2.0985,0,0.84627
1,1,11,11,2.1,0.55031,1.9967,3,1.3905,1,1.191
1,1,12,12,2.1,0.71266,1.8495,3,0.68634,1,0.74907
1,1,13,13,2.1,0.74249,1.9243,2,1.4588,1,0.94501
1,1,14,14,2.1,5.5425,1.6789,1,2.3265,0,3.001
1,1,15,15,2.1,0.82983,1.9629,3,2.3192,1,1.0477
1,1,16,16,2.1,0.70169,2.03,3,1.7448,0,1.0583
1,1,17,17,2.1,0.61476,1.9824,3,1.5626,1,0.64325
1,1,18,18,2.1,3.5118,1.8406,1,3.3259,1,1.7601
1,1,19,19,2.1,0.77083,1.7286,1,0.97932,0,0.80922
1,1,20,20,2.1,3.9914,2.1283,1,0.78745,0,0.76187
1,1,21,21,2.1,0.53588,1.48,3,1.123,0,1.36
1,1,22,22,2.1,0.56597,1.6801,2,1.269,0,1.2079
1,1,23,23,2.1,0.47855,1.4791,2,1.3032,0,1.0053
1,1,24,24,2.1,0.65682,2.0584,3,1.4814,1,0.83225
1,1,25,25,2.1,0.69346,1.7356,3,1.1832,1,0.82311
1,1,26,26,2.1,0.4055,1.8995,1,1.272,0,0.68196
1,1,27,27,2.1,0.62318,1.2708,1,2.0532,0,1.0381
1,1,28,28,2.1,1.0248,2.1262,3,1.0776,0,1.5325
1,1,29,29,2.1,0.65487,1.5731,2,0.6606,0,0.46336
1,1,30,30,2.1,0.67655,2.1067,3,1.4351,0,1.5667
1,1,31,31,2.1,0.83211,2.5101,2,1.7636,0,0.68972
1,1,32,32,2.1,0.72175,1.7626,2,3.9912,0,1.2048
1,1,33,33,2.1,0.9095,1.6323,1,1.4742,0,0.91925
