Subj_idx,Stimulus,Response,Confidence,RT_decConf,Coherence,Condition,Accuracy,Block,Date
1,0,0.0,0.995891,2.573689,0.512,0.0,1.0,1,20150427
1,0,0.0,1.0,0.794602,0.512,0.0,1.0,1,20150427
1,1,0.0,0.0,0.981858,0.0,1.0,0.0,1,20150427
1,1,1.0,0.989616,1.648159,0.032,1.0,1.0,1,20150427
1,1,0.0,0.0,1.381704,0.064,1.0,0.0,1,20150427
1,1,1.0,0.0,1.38174,0.0,1.0,1.0,1,20150427
1,0,1.0,0.250343,1.141622,0.0,1.0,0.0,1,20150427
1,1,1.0,1.0,0.901688,0.512,1.0,1.0,1,20150427
1,1,1.0,1.0,0.768288,0.512,1.0,1.0,1,20150427
1,0,1.0,0.041377,1.355071,0.0,0.0,0.0,1,20150427
1,0,0.0,1.0,0.941208,0.128,1.0,1.0,1,20150427
1,1,0.0,0.016849,1.021684,0.128,1.0,0.0,1,20150427
1,0,0.0,1.0,0.781839,0.128,0.0,1.0,1,20150427
1,1,1.0,1.0,0.714535,0.256,0.0,1.0,1,20150427
1,1,0.0,0.080546,0.808468,0.032,0.0,0.0,1,20150427
1,0,1.0,0.249773,0.848407,0.032,0.0,0.0,1,20150427
1,0,0.0,0.334576,0.835001,0.256,0.0,1.0,1,20150427
1,1,1.0,0.614846,0.888299,0.128,0.0,1.0,1,20150427
1,0,0.0,1.0,0.795039,0.512,1.0,1.0,1,20150427
1,0,0.0,0.983531,0.861829,0.256,1.0,1.0,1,20150427
1,1,1.0,0.515782,1.04831,0.128,0.0,1.0,1,20150427
1,1,1.0,0.839594,0.661694,0.512,1.0,1.0,1,20150427
1,0,0.0,1.0,0.768896,0.256,1.0,1.0,1,20150427
1,1,1.0,0.201097,0.954977,0.256,0.0,1.0,1,20150427
1,1,1.0,0.639184,0.741657,0.256,1.0,1.0,1,20150427
1,1,1.0,0.903101,0.608309,0.128,0.0,1.0,1,20150427
1,0,0.0,1.0,0.608433,0.256,0.0,1.0,1,20150427
1,0,0.0,1.0,0.621611,0.128,0.0,1.0,1,20150427
1,0,0.0,0.0,1.061812,0.032,1.0,1.0,1,20150427
1,0,0.0,0.960334,0.568369,0.512,0.0,1.0,1,20150427
1,1,1.0,0.346555,0.648317,0.032,1.0,1.0,1,20150427
1,0,0.0,0.090814,0.795036,0.0,1.0,1.0,1,20150427
