Subj_idx,Block,Trial,RT_stop,Stimulus,Response,Error,Confidence,RT_confidence,ErrorDirectionJudgment,RT_directionJudgment
1,3,1,3.73551020408163,11,11.0,0,2,5.12717698000006,1,0.0159909549997792
1,3,2,4.20281179138322,11,11.0,0,2,2.28584540100019,1,0.0166740529998606
1,3,3,4.16798185941043,11,10.0,-1,2,4.62954244299999,1,1.95519116200012
1,3,4,4.43501133786848,11,11.0,0,1,4.38690704200008,1,0.6399670159999
1,3,5,4.90956916099773,11,12.0,1,2,4.00301870900012,1,1.18574353000031
1,3,6,4.35954648526077,11,12.0,1,3,1.15749363900022,1,0.618620563999684
1,3,7,4.21006802721088,11,12.0,1,3,5.95451480400015,1,0.0159975690003193
1,3,8,4.34213151927438,11,11.0,0,2,3.40295205499979,-1,0.0163173800001459
1,3,9,4.060589569161,11,10.0,-1,3,1.51313701200024,-1,0.0165615420000904
1,3,10,4.0431746031746,11,11.0,0,1,5.12765036400015,-1,0.015929394000068
1,3,11,4.01850340136054,11,11.0,0,3,0.681718956000168,1,0.441079458999866
1,3,12,4.21442176870748,11,10.0,-1,1,1.57960432800019,-1,0.0159392770001432
1,3,13,3.85741496598639,11,10.0,-1,2,1.11321431299984,1,0.725926499999787
1,3,14,4.14766439909297,11,10.0,-1,3,0.395522690000234,-1,0.472400427000139
1,3,15,3.91981859410431,11,10.0,-1,2,1.10812365600032,1,0.449199606000093
1,3,16,4.62222222222222,11,11.0,0,3,1.82296259000032,-1,0.0163645869997708
1,3,17,4.60335600907029,11,12.0,1,1,2.13166173399986,1,0.201988641999833
1,3,18,4.0431746031746,11,11.0,0,2,1.85522915499996,1,0.0159280499997294
1,3,19,3.9459410430839,11,11.0,0,2,2.28326130100004,-1,0.344765530000132
1,3,20,4.60480725623583,11,13.0,2,1,0.94035098600034,1,0.0319871679998869
1,3,21,5.47990929705215,11,14.0,3,3,0.751897248000205,1,0.765018087999579
1,3,22,4.88199546485261,11,12.0,1,2,1.53266456900019,1,0.0161834460000136
1,3,23,3.54975056689342,11,11.0,0,3,1.6521396410003,1,0.164973546000056
1,3,24,4.75283446712018,11,12.0,1,2,0.868498386999818,1,0.0164664620001531
1,3,25,3.38721088435374,11,10.0,-1,2,2.14357780699993,-1,0.0179390249995777
1,3,26,4.15492063492063,11,11.0,0,3,0.795044857999983,-1,0.447658604000026
1,3,27,3.65859410430839,11,9.0,-2,1,1.3394968560001,-1,0.0169358519997331
1,3,28,4.04027210884354,11,11.0,0,2,1.2698784690001,-1,0.220385589999751
1,3,29,4.52934240362812,11,12.0,1,1,1.08700522500021,1,0.0159677719998399
1,3,30,4.64544217687075,11,11.0,0,3,1.31061427300028,1,1.01902821900012
1,3,31,4.76879818594104,11,11.0,0,2,1.22024444099998,1,0.0164361560000543
1,3,32,4.54820861678005,11,11.0,0,1,1.0950311040001,1,0.0159422749998157
1,3,33,4.10848072562358,11,10.0,-1,3,1.86007374199971,-1,0.016583780000019
1,3,34,3.80226757369615,11,11.0,0,3,0.950387509999928,-1,0.505351731999781
1,3,35,4.77170068027211,11,11.0,0,3,1.61262206999982,-1,0.630341842000234
1,3,36,4.77460317460317,11,12.0,1,3,1.08003359599979,-1,2.72738983999989
1,3,37,4.01850340136054,11,11.0,0,1,1.11245543299992,1,0.0168365700001232
1,3,38,4.45968253968254,11,12.0,1,1,1.35882385400009,1,0.0162118700000065
1,3,39,4.1447619047619,11,12.0,1,1,1.02442860599967,1,0.016906397999719
1,3,40,4.40743764172336,11,11.0,0,3,0.662465649000296,-1,0.566238989999874
1,3,41,4.01124716553288,11,10.0,-1,2,1.86523236099993,1,0.0873195019999002
