Subj_idx,Block,Trial,Stimulus,Response,RT_dec,Confidence,RT_conf,ErrorDirectionJudgment,RT_directionJudgment
1,1,1,7,7,4.40390610300528,1,1.56704405399796,-1,4.74790400899656
1,1,2,5,6,2.95359509499394,3,1.20188236299146,-1,2.9803870649921
1,1,3,27,18,5.44084643099632,1,1.57354796100117,-1,1.97837590900599
1,1,4,14,11,5.12258730200119,1,0.520813412003918,-1,2.23105531898909
1,1,5,11,12,5.65629194700159,2,0.599301484005991,1,0.681299438001588
1,1,6,22,16,4.42174130800413,2,0.449200044997269,1,0.577909190003993
1,1,7,28,11,3.7376096299995,1,1.32203416900302,1,0.54327973400359
1,1,8,9,8,2.48642008200113,3,1.00674909500231,1,1.22477043200342
1,1,9,26,20,4.55516629898921,2,0.887593472012668,1,1.22060559201054
1,1,10,24,21,4.98889335700369,1,0.716875957004959,1,0.555089777000831
1,1,11,29,18,7.32478111900855,2,1.63303050700051,-1,0.882534392003436
1,1,12,15,14,3.23703735000163,2,0.592320351002854,1,0.331449943987536
1,1,13,6,6,2.43612412500079,3,0.802825808001217,-1,1.17293095801142
1,1,14,7,7,1.93563245800033,3,1.08615241700318,1,0.461294213004294
1,1,15,22,16,5.20582275200286,2,0.358371937007178,1,0.53142286799266
1,1,16,11,9,4.20464021299267,3,1.22395092000079,-1,2.15266297200287
1,1,17,8,7,2.08576711699425,3,0.792534808002529,-1,0.482913337007631
1,1,18,29,18,5.75637285599078,1,0.451351965995855,-1,0.419581170004676
1,1,19,16,16,5.77310974399734,1,1.38835190699319,-1,0.565843802003656
1,1,20,11,10,4.37160137300089,2,1.19893376999244,1,1.13743845999124
1,1,21,29,19,5.18924785499985,2,0.972391199000413,1,1.07207001101051
1,1,22,7,9,3.8542765010061,3,0.799256347003393,1,0.554079131994513
1,1,23,8,7,2.73643575199821,3,0.802754806994926,-1,1.04558798999642
1,1,24,11,11,3.07006876201194,2,1.83535913399828,1,1.5953064320056
1,1,25,26,20,2.60301119800715,1,1.96135941999091,1,0.995061524008634
1,1,26,9,12,5.60629680499551,3,1.17731729199295,1,0.364513970998814
1,1,27,22,18,6.90756924499874,2,1.62250362799386,-1,2.23003393900581
1,1,28,17,16,4.55501362899668,1,0.846291699999711,-1,0.0316806629998609
1,1,29,7,7,2.1357260740042,2,11.8722066300106,-1,6.65912934399967
1,1,30,20,15,3.83754534499894,2,0.924832008997328,-1,1.61850299200159
1,1,31,25,21,2.80323628699989,1,3.75808847500593,1,0.542865769995842
1,1,32,5,5,3.02010496500588,3,0.525897984000039,1,0.34701350099931
1,1,33,26,18,3.28705524699762,2,1.96541914400586,1,0.512054731007083
1,1,34,7,7,2.35258359400905,3,1.58379786700243,-1,1.74663526000222
1,1,35,29,16,2.18575905999751,2,1.29997552999703,1,0.961707969996496
1,1,36,4,4,1.55190164700616,3,0.68709699100873,-1,1.22209944699716
1,1,37,22,14,6.04009682001197,2,3.44366471799731,-1,2.45792755299772
1,1,38,12,12,3.60402148599678,2,0.850129318991094,-1,0.282607171990094
1,1,39,9,9,2.50279999199847,3,1.18776443699608,-1,0.358686302002752
1,1,40,8,9,4.58861124800751,3,1.65643293500762,1,2.50378246798937
1,1,41,10,10,3.17017698899144,2,0.886646377010038,-1,1.43006456000148
1,1,42,7,6,1.86878667300334,3,0.373540768996463,-1,0.648460230004275
1,1,43,27,15,2.05226614700223,2,0.776370195002528,-1,0.916952617990319
1,1,44,11,8,2.76977032200375,2,1.47582837600203,-1,0.905663322002511
1,1,45,24,15,2.95336175500415,2,1.96666427000309,-1,0.929104384995298
1,1,46,11,8,4.00448623200646,3,0.713744729000609,-1,0.465019769995706
1,1,47,11,10,3.75416982399474,3,0.685328476989525,-1,0.373111922002863
1,1,48,4,4,0.984628926991718,3,1.3289607649931,-1,0.390346995001892
1,1,49,22,12,6.15686440400896,2,2.54806492499483,-1,2.9358970149915
1,1,50,16,17,5.73986129999685,2,0.738591811998049,-1,1.63874927100551
1,1,51,22,19,19.9553531119891,1,0.661007593997056,-1,0.412384803988971
1,1,52,23,16,5.47270345799916,1,0.851096174999839,-1,0.378369967002072
1,1,53,7,5,1.56855282699689,3,0.95180086500477,-1,0.268405069000437
1,1,54,17,15,3.83758334199956,3,1.24454299399804,-1,0.0596750050026458
1,1,55,7,7,1.53506622799614,3,0.629437451992999,-1,0.374178095007665
1,1,56,11,11,4.70529235499271,3,0.982828348001931,1,0.193463311996311
1,1,57,7,7,1.55182298699219,3,0.581412061001174,1,1.12844799400773
1,1,58,12,9,9.92768070999591,3,0.74116165599844,1,0.71489974000724
1,1,59,9,8,2.61962445799145,3,0.904631085009896,-1,0.303214806001051
1,1,60,14,11,8.30920086799597,1,0.613340844996856,1,1.33602177600551
1,1,61,4,4,4.47183306000079,3,1.11377122100384,1,2.28070612499141
1,1,62,17,14,4.95568325700879,2,0.837506077994476,-1,0.525681921004434
1,1,63,4,4,1.00124239199795,3,0.6264855240006,-1,0.25866620700981
1,1,64,7,7,1.78530090999266,3,0.290161513999919,1,0.82532368900138
1,1,65,29,25,1.88554399200075,2,1.43470026999421,1,0.874568083003396
1,1,66,7,8,2.41936316200008,3,0.811983455001609,1,0.244660511991242
1,1,67,16,15,5.97326362799504,2,0.8903156209999,1,0.441279268008657
1,1,68,21,16,31.1344254169962,1,0.581607979009277,1,0.296892226004275
1,1,69,6,5,0.917753244997584,3,0.341683420992922,1,0.291635039990069
1,1,70,11,9,5.22347015299601,3,1.92155340898898,-1,0.918323094010702
1,1,71,28,22,3.30385622500035,2,0.821388055002899,-1,1.24693470200873
1,1,72,18,16,3.78759068000363,2,0.613440262997756,1,0.264489640001557
1,1,73,7,7,1.53500359700411,3,0.292627934002667,1,1.02841862899368
1,1,74,10,11,4.77186719499878,3,1.1882699370035,1,0.263113442008034
1,1,75,24,18,1.63522191499942,2,0.771739116986282,-1,0.352194530001725
1,1,76,7,6,2.8365890210116,3,0.706332005996956,-1,0.111979876004625
1,1,77,10,10,6.37379470799351,3,0.745682501990814,1,0.654680187988561
1,1,78,14,14,5.80641624701093,2,2.24513606399705,-1,0.403462197005865
1,1,79,29,22,1.58513721800409,3,3.32781569199869,-1,2.56878407699696
1,1,80,4,4,0.83426886399684,3,0.331964333992801,-1,0.448328651997144
1,1,81,7,7,7.94217701499292,3,0.39689957399969,-1,0.192546118996688
1,1,82,4,4,0.80092563299695,3,0.753426595998462,-1,0.268026906996965
1,1,83,22,19,1.70197852300771,2,0.984480971994344,-1,0.979540686996188
1,1,84,28,18,2.15243977500359,2,1.04851608199533,-1,1.03886546001013
1,1,85,29,21,2.18580851299339,2,2.03722058099811,-1,2.22056693999912
1,1,86,4,4,0.967753308010288,3,0.744075134003651,-1,0.203923812994617
1,1,87,16,12,3.73748646999593,2,1.5437449059973,-1,0.842396362000727
1,1,88,29,23,4.00450621699565,1,1.03275137500896,-1,0.449438983996515
1,1,89,11,13,1.75196618100745,2,0.616549694997957,1,1.04222220899828
1,1,90,4,5,1.2847819840099,3,0.718429095009924,1,0.636972555003013
1,1,91,4,4,0.750860824002302,3,1.50138986000093,-1,0.36902097199345
1,1,92,29,16,2.30263418800314,2,12.2583636740019,1,3.92720456299139
1,1,93,19,16,4.53842122899368,2,4.20907594599703,1,2.79212707800616
1,1,94,16,14,2.86989367200295,2,0.819988168004784,-1,1.65332099499938
1,1,95,13,11,1.56851451499097,2,0.400204958001268,-1,4.20948228999623
1,1,96,4,4,1.05118202000449,3,0.693650186993182,-1,0.116621969995322
1,1,97,15,12,2.71976791699126,2,0.469565674997284,1,0.629945310007315
1,1,98,6,6,1.36820030098897,3,0.692099810010404,-1,0.305733422006597
1,1,99,7,6,2.10233217698988,3,0.834301583992783,-1,0.4756348469964
1,1,100,5,5,1.01778052600275,3,0.931908768005087,1,1.14486589499575
1,1,101,15,13,1.63514800700068,2,0.868674126002588,1,4.60390693899535
1,1,102,11,10,1.73526725400006,2,0.516619497997453,-1,1.14732197498961
1,1,103,19,16,1.30147283799306,2,0.699906306996127,1,0.209278313006507
