Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Task,Block
1,18,193.9453125,2,4.2406335970004,4.05468749999999,1.0,percept,1
1,33,56.953125,1,5.15883970499999,-23.953125,0.5,percept,1
1,39,49.6796875,3,2.08736125399992,-10.6796875,0.5,percept,1
1,28,56.109375,2,1.69608527900027,-28.109375,1.0,percept,1
1,99,288.87109375,4,2.31275778100007,-9.87109375000004,1.0,percept,1
1,74,67.30859375,3,5.43811128400012,6.69140625,0.5,percept,1
1,37,59.58203125,3,3.85851970700014,-22.58203125,0.5,percept,1
1,89,287.61328125,3,2.23927007700013,-18.61328125,1.0,percept,1
1,68,65.9921875,4,1.7676360180003,2.0078125,0.5,percept,1
1,9,217.44140625,2,3.17460339099989,-28.44140625,1.0,percept,1
1,166,123.76171875,3,2.79868321100048,42.23828125,0.5,percept,1
1,30,231.25,3,2.44056435099992,-21.25,1.0,percept,1
1,135,304.75390625,2,1.68160321700043,10.24609375,1.0,percept,1
1,59,233.91796875,3,2.81516938200002,5.08203125000002,0.5,percept,1
1,21,229.3828125,3,2.18487910000022,-28.3828125,1.0,percept,1
1,44,39.02734375,3,1.85382435500014,4.97265624999999,1.0,percept,1
1,93,238.31640625,2,1.30837528099983,34.68359375,1.0,percept,1
1,112,128.84375,4,1.90746337900009,-16.84375,1.0,percept,1
1,163,131.671875,2,1.75046933500016,31.328125,1.0,percept,1
1,34,53.2265625,2,1.80582487599986,-19.2265625,1.0,percept,1
1,61,242.05078125,2,2.05169706600009,-1.05078125,0.5,percept,1
1,131,122.7109375,3,1.80199319600024,8.28906249999999,1.0,percept,1
1,160,60.234375,2,1.37931194700013,-80.234375,1.0,percept,1
1,171,62.375,1,1.73343787400017,-71.375,1.0,percept,1
1,53,50.8359375,1,1.59827818700023,2.1640625,1.0,percept,1
1,139,312.20703125,3,1.68019613100023,6.79296875000001,1.0,percept,1
1,3,203.29296875,1,2.22036527699993,-20.29296875,0.5,percept,1
1,40,43.9375,3,3.10203634300024,-3.9375,1.0,percept,1
1,29,220.48046875,2,1.71436103800033,-11.48046875,1.0,percept,1
1,3,203.9609375,2,2.45404888200028,-20.9609375,1.0,percept,1
1,14,190.9453125,2,2.97377240500009,3.05468750000001,0.5,percept,1
1,92,88.6875,1,2.8176432500004,3.3125,0.5,percept,1
1,91,277.5234375,4,1.26200965699991,-6.52343749999999,1.0,percept,1
1,141,122.63671875,4,0.887138925000272,18.36328125,1.0,percept,1
1,16,217.96875,4,1.83054713300044,-21.96875,1.0,percept,1
1,6,189.34765625,4,1.67327158100034,-3.34765625,0.5,percept,1
1,7,19.32421875,3,1.69102683700021,-12.32421875,1.0,percept,1
1,165,334.9921875,4,1.65041920600015,10.0078125,1.0,percept,1
1,122,130.30859375,4,0.942909315000179,-8.30859375000001,1.0,percept,1
1,55,232.2578125,4,2.17984625899999,2.74218750000002,0.5,percept,1
1,110,125.43359375,4,1.06214093800008,-15.43359375,1.0,percept,1
1,147,28.53125,4,2.13340631100027,-61.53125,0.5,percept,1
1,60,241.9765625,4,1.22722091800006,-1.97656249999999,0.5,percept,1
1,120,122.75390625,4,2.40070599399996,-2.75390625,0.5,percept,1
1,59,231.91015625,4,2.68619465900019,7.08984374999999,1.0,percept,1
1,77,58.140625,4,2.61860210500026,18.859375,0.5,percept,1
1,94,54.9375,4,2.26762189400051,39.0625,1.0,percept,1
