Subj_idx,Stimulus,Response,Confidence,RT_dec,Error,Condition,Task,Block
1,137,121.671875,4,2.14622398499978,15.328125,0.5,wm,3
1,161,131.953125,4,2.04081674000008,29.046875,0.5,wm,3
1,66,54.8125,4,2.18347830000039,11.1875,1.0,wm,3
1,84,98.0703125,2,2.30125260300065,-14.0703125,0.5,wm,3
1,54,50.84375,3,2.71030811600031,3.15625000000001,1.0,wm,3
1,63,244.9140625,4,3.64330741700087,-1.91406249999999,0.5,wm,3
1,15,196.8125,4,2.57328329699976,-1.81249999999997,1.0,wm,3
1,156,166.3359375,4,2.86113742399993,-10.3359375,1.0,wm,3
1,80,238.75,4,1.81683587300085,21.25,0.5,wm,3
1,125,343.7421875,4,2.56068401199991,-38.7421875,1.0,wm,3
1,162,330.53125,4,1.51675946500018,11.46875,0.5,wm,3
1,1,163.5234375,4,2.6168765020002,17.4765625,1.0,wm,3
1,81,322.3671875,2,1.86755967499994,-61.3671875,0.5,wm,3
1,34,50.75,2,1.41457309900034,-16.75,0.5,wm,3
1,47,55.9375,3,1.9618996220006,-8.9375,1.0,wm,3
1,26,209.640625,3,1.34689955400063,-3.64062499999998,0.5,wm,3
1,32,211.96875,2,2.01347607800017,0.0312500000000222,1.0,wm,3
1,52,227.015625,2,1.70535729900075,4.98437500000001,1.0,wm,3
1,61,186.9453125,1,1.53735109100035,54.0546875,0.5,wm,3
1,27,67.7734375,3,2.30049242500081,-40.7734375,1.0,wm,3
1,45,235.2578125,3,2.19779506500072,-10.2578125,1.0,wm,3
1,62,39.5390625,3,2.1365561700004,22.4609375,1.0,wm,3
1,45,235.4609375,3,2.18491570100014,-10.4609375,1.0,wm,3
1,29,203.1953125,3,2.08192783700088,5.80468750000001,1.0,wm,3
1,4,15.421875,2,3.04424328500045,-11.421875,1.0,wm,3
1,145,347.875,4,2.09641026600002,-22.875,1.0,wm,3
1,23,209.9375,4,2.21980004899979,-6.93749999999999,1.0,wm,3
2,122,123.2734375,3,1.89082157700022,-1.27343750000002,0.5,wm,3
2,18,26.1171875,3,3.64587911699982,-8.1171875,0.5,wm,3
2,168,159.5546875,2,2.32419713900026,8.44531250000001,0.5,wm,3
2,125,296.0,3,1.39518434600041,9.00000000000001,1.0,wm,3
2,14,32.4140625,3,2.01003232600033,-18.4140625,0.5,wm,3
2,93,94.796875,4,2.99658354600024,-1.796875,1.0,wm,3
2,124,318.0234375,3,5.25719774799973,-14.0234375,1.0,wm,3
2,120,307.7890625,3,2.39475308200008,-7.78906250000003,1.0,wm,3
2,108,292.453125,2,1.15201723000018,-4.45312499999998,0.5,wm,3
2,164,154.9609375,3,3.39411253100025,9.03906249999999,1.0,wm,3
2,2,303.921875,1,0.671250266000243,58.078125,0.5,wm,3
2,2,186.171875,2,2.62205261700001,-4.17187500000002,0.5,wm,3
2,33,352.0,1,0.826631080000425,41.0,1.0,wm,3
2,8,189.359375,3,2.32208065099985,-1.35937500000001,1.0,wm,3
2,109,111.015625,3,1.54601331200001,-2.015625,1.0,wm,3
2,113,122.765625,2,3.20270068100035,-9.76562499999999,0.5,wm,3
2,98,117.953125,2,4.40030844600005,-19.953125,1.0,wm,3
2,10,173.984375,3,3.79610896900022,16.015625,0.5,wm,3
2,61,224.6484375,3,1.91800975900014,16.3515625,0.5,wm,3
2,54,236.6484375,2,2.48467833199993,-2.64843750000001,0.5,wm,3
2,86,354.0,1,0.910657127999912,-87.9999999999999,1.0,wm,3
2,69,62.6171875,3,1.83334219400012,6.3828125,0.5,wm,3
2,44,226.0546875,4,2.39485897400027,-2.05468749999999,1.0,wm,3
2,24,37.8046875,3,2.36484812200024,-13.8046875,0.5,wm,3
2,89,253.328125,2,2.87371789999997,15.671875,0.5,wm,3
2,13,193.7265625,2,2.94235886500019,-0.726562499999979,0.5,wm,3
2,79,264.0,2,2.58937614300021,-5.0,0.5,wm,3
2,33,30.9296875,3,3.1626639050005,2.0703125,1.0,wm,3
2,66,242.765625,3,2.10015024600034,3.23437500000002,1.0,wm,3
2,155,164.0,3,3.07051550200003,-9.0,0.5,wm,3
2,56,64.0,3,2.40136667800016,-8.0,0.5,wm,3
2,49,31.984375,3,2.79766218300028,17.015625,1.0,wm,3
2,87,42.84375,2,10.8286237010002,44.15625,1.0,wm,3
2,55,51.1640625,3,3.05618610500005,3.8359375,1.0,wm,3
2,88,282.0546875,2,2.27139215300031,-14.0546875,1.0,wm,3
2,28,202.9453125,2,4.60959311099987,5.05468749999999,0.5,wm,3
2,40,31.2734375,3,2.41234938400021,8.7265625,0.5,wm,3
2,166,350.0,2,1.81808705399999,-3.99999999999999,1.0,wm,3
2,169,166.6171875,2,2.59349377199987,2.38281249999999,0.5,wm,3
2,64,59.09375,3,2.02947985300034,4.90625,1.0,wm,3
2,101,94.0390625,2,2.74151385200048,6.9609375,1.0,wm,3
2,74,81.1796875,3,3.37456954199979,-7.17968749999999,0.5,wm,3
2,130,27.921875,1,1.13818154099999,-77.921875,0.5,wm,3
2,51,45.7265625,3,1.46704250100038,5.2734375,0.5,wm,3
2,46,216.15625,3,1.89265135400046,9.84375,1.0,wm,3
2,159,330.5625,3,3.47015881000016,8.43750000000002,0.5,wm,3
2,32,227.7890625,3,1.57463187700023,-15.7890625,1.0,wm,3
2,172,349.1953125,2,3.5619309409999,2.80468749999999,0.5,wm,3
2,61,232.0546875,3,3.25357098399991,8.94531250000001,1.0,wm,3
2,20,28.9296875,2,1.83517476100042,-8.9296875,1.0,wm,3
2,20,211.921875,2,1.90796966100015,-11.921875,1.0,wm,3
2,29,205.34375,2,2.13190288500027,3.65625,0.5,wm,3
2,3,19.046875,2,2.58258007299992,-16.046875,0.5,wm,3
2,117,300.0,1,0.604280247000133,-2.99999999999995,0.5,wm,3
2,80,67.8515625,3,3.85975456000006,12.1484375,1.0,wm,3
2,68,260.1015625,3,2.4422591739999,-12.1015625,1.0,wm,3
2,132,320.9140625,2,2.9042354510002,-8.91406250000004,0.5,wm,3
2,44,227.5703125,2,1.9530873030003,-3.57031249999998,1.0,wm,3
2,103,289.4765625,2,2.36558201900016,-6.47656249999998,0.5,wm,3
2,82,282.6484375,2,2.63316131300053,-20.6484375,1.0,wm,3
3,166,134.7109375,2,3.80672515899641,31.2890625,1.0,wm,3
3,4,219.875,2,1.92548688099487,-35.875,0.5,wm,3
3,23,127.40625,2,3.83937877102289,75.59375,0.5,wm,3
3,173,6.265625,2,2.88309979101177,-13.265625,1.0,wm,3
3,104,309.5546875,2,3.29924586403649,-25.5546875,0.5,wm,3
3,108,150.1171875,2,2.49557693401584,-42.1171875,0.5,wm,3
3,72,245.140625,2,2.78710983903147,6.85937499999999,1.0,wm,3
3,37,37.5390625,2,3.64098393300083,-0.539062499999998,1.0,wm,3
3,59,40.546875,2,2.8680686680018,18.453125,1.0,wm,3
3,131,136.203125,2,3.29737893101992,-5.203125,1.0,wm,3
3,57,241.2265625,3,1.70046043401817,-4.22656249999998,1.0,wm,3
3,86,92.6328125,3,2.93272579903714,-6.6328125,1.0,wm,3
3,7,16.0859375,2,1.69446331099607,-9.0859375,0.5,wm,3
3,10,190.3203125,2,2.07349725003587,-0.320312500000008,0.5,wm,3
3,25,32.6171875,3,2.83907535200706,-7.61718749999999,0.5,wm,3
3,55,36.1875,3,2.73544736299664,18.8125,1.0,wm,3
