Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,3,1,93,6,0.70638,4.9374,2,3.7141,0,2.1752
1,3,2,94,6,0.61856,5.3342,3,1.2479,0,0.51373
1,3,3,95,3,0.71808,3.97,3,1.5122,0,0.5417
1,3,4,96,6,0.49204,5.2772,2,1.4411,0,0.47363
1,3,5,97,3,0.80509,3.498,2,3.6506,0,0.53893
1,3,6,98,3,0.63994,1.9258,3,1.1989,0,0.81612
1,3,7,99,3,0.56087,3.0303,3,1.1627,0,1.1007
1,3,8,100,3,1.2087,4.2259,3,1.2541,1,3.3843
1,3,9,101,3,0.84864,4.2545,3,1.6116,1,1.4653
1,3,10,102,6,0.55896,4.7268,2,1.9428,0,1.9124
1,3,11,103,3,0.74438,3.4551,2,1.7659,0,0.48893
1,3,12,104,6,0.70998,4.9776,2,10.843,0,1.8276
1,3,13,105,3,0.76866,3.6963,2,1.5479,0,0.51409
1,3,14,106,3,0.60496,3.1867,3,1.0904,0,0.61145
1,3,15,107,6,0.60278,6.7717,3,1.4599,1,0.51385
1,3,16,108,3,0.66086,4.017,3,4.9756,0,0.74007
1,3,17,109,6,0.63874,6.3369,2,1.8983,1,0.6872
1,3,18,110,3,0.67953,2.8936,2,1.9484,0,0.77495
1,3,19,111,6,0.62882,4.5438,2,1.2561,1,0.5598
1,3,20,112,3,0.60511,4.737,2,2.1726,0,0.54454
1,3,21,113,6,0.56253,5.0685,3,2.6989,0,0.50385
1,3,22,114,6,1.578,5.8909,3,1.2507,1,0.81893
1,3,23,115,3,0.85559,2.8739,3,1.1818,0,0.70296
1,3,24,116,3,0.65139,2.5576,3,1.9838,0,1.3391
1,3,25,117,6,0.62942,5.02,3,1.5249,1,0.96195
1,3,26,118,3,0.68097,2.8539,3,1.2655,0,0.4542
1,3,27,119,3,0.77103,3.5234,2,1.1921,1,0.66401
1,3,28,120,6,0.77216,4.8983,2,2.2088,1,0.59841
1,3,29,121,3,0.56509,3.2429,3,1.1326,0,0.52953
1,3,30,122,3,0.50398,3.5496,3,2.4507,0,0.71473
1,3,31,123,3,0.57267,3.5378,3,1.1772,0,0.56409
1,3,32,124,6,0.58578,5.3713,3,2.2144,1,1.4653
1,3,33,125,6,0.54347,4.8047,3,2.1976,0,0.50457
1,3,34,126,6,0.36185,4.5942,2,1.6192,1,0.85442
1,3,35,127,3,0.63644,2.6973,3,1.8903,0,0.62093
1,3,36,128,3,0.62147,2.7869,2,1.3163,0,0.5912
1,3,37,129,3,0.84148,2.5888,2,9.7072,0,0.74088
1,3,38,130,6,0.70486,5.1608,3,1.3296,1,2.1794
1,3,39,131,6,1.1431,4.8519,3,2.2624,0,0.96429
1,3,40,132,3,0.69167,3.1524,3,1.013,0,0.85238
1,3,41,133,3,0.54607,3.9695,3,1.3358,0,0.72023
1,3,42,134,3,0.54495,4.4556,1,1.2386,1,0.88472
1,3,43,135,6,0.99113,4.9376,3,2.651,0,0.75319
1,3,44,136,6,0.86875,6.1331,2,1.8315,0,1.2004
1,3,45,137,6,0.69156,5.6274,3,1.1021,0,0.68149
1,3,46,138,3,1.1953,3.2024,3,1.2655,0,0.6773
1,3,47,139,6,0.76101,6.6178,3,1.268,1,0.58138
1,3,48,140,3,0.84794,4.3462,3,1.2576,1,0.73675
1,3,49,141,6,6.3422,4.3526,1,1.039,0,0.78729
1,3,50,142,6,0.84598,5.6311,1,1.3308,1,0.86541
1,3,51,143,3,0.69722,4.8071,3,1.1011,0,0.55582
1,3,52,144,3,3.1513,3.3803,3,2.6991,0,0.95419
1,3,53,145,3,1.3089,3.2501,3,3.8611,0,0.64617
1,3,54,146,3,0.69577,2.7569,3,0.89428,0,3.3788
1,3,55,147,6,0.97468,6.0761,3,1.0994,0,1.129
1,3,56,148,3,1.5536,2.6068,3,1.2326,0,1.6282
1,3,57,149,6,0.86288,5.4809,3,1.2196,0,0.71886
1,3,58,150,6,0.57492,4.9653,3,1.3094,1,0.56339
1,3,59,151,6,0.5917,5.4284,2,1.3284,1,0.74065
1,3,60,152,6,0.57361,7.4887,2,1.2454,1,0.91748
1,3,61,153,3,0.68788,2.2113,3,0.88682,0,0.62152
1,3,62,154,3,0.87341,4.1373,3,1.7868,0,0.55657
1,3,63,155,3,0.6575,3.6884,2,1.7142,0,0.64293
1,3,64,156,3,0.80529,3.8245,1,1.9541,0,0.70765
1,3,65,157,3,2.1893,3.632,3,1.4883,0,0.57069
1,3,66,158,6,0.61739,4.9447,3,1.4038,0,0.60846
1,3,67,159,3,0.72382,3.9509,3,1.0012,0,0.9066
1,3,68,160,6,0.88594,4.7198,2,1.4393,1,1.0977
1,3,69,161,3,0.71285,3.8811,2,1.2361,1,0.60854
1,3,70,162,6,0.77045,6.06,3,1.2879,1,2.5091
1,3,71,163,6,1.0483,4.8953,3,1.6814,1,0.76338
1,3,72,164,6,0.63587,6.1344,2,1.2331,1,0.87944
1,3,73,165,6,0.52096,4.9614,2,1.1678,0,0.79346
1,3,74,166,6,1.111,5.0905,3,1.0253,0,1.0897
1,3,75,167,3,0.67805,2.4681,3,1.0767,0,0.64092
1,3,76,168,6,0.70193,5.458,3,1.2132,0,0.7138
1,3,77,169,3,0.76273,3.3562,3,1.1792,0,0.95061
1,3,78,170,6,0.72792,5.7688,3,1.0599,1,1.3634
1,3,79,171,6,0.70726,6.0382,3,1.2492,1,0.70368
1,3,80,172,6,1.2413,4.9626,2,1.6055,1,0.63489
1,3,81,173,6,0.89884,5.3285,3,0.91679,0,1.6067
1,3,82,174,6,0.79154,6.8645,3,1.0895,1,0.56071
1,3,83,175,6,0.69419,4.1418,3,1.0293,0,0.58947
1,3,84,176,6,0.55429,5.485,3,1.0858,1,0.91955
1,3,85,177,3,0.68196,3.2421,2,1.2071,0,0.46238
1,3,86,178,6,0.96638,7.3421,1,1.562,1,0.65372
1,3,87,179,3,0.99272,3.252,3,1.076,0,0.51395
1,3,88,180,3,1.1725,2.8741,3,1.8311,0,0.54313
1,3,89,181,6,0.8668,5.6931,3,1.8269,0,0.8258
1,3,90,182,6,1.2274,5.0398,3,1.3256,1,0.63851
1,3,91,183,3,1.1474,2.6934,3,1.1855,0,0.59406
1,3,92,184,3,0.78667,3.0602,3,1.5586,0,0.58774
2,3,1,93,6,1.0577,6.4132,2,1.8151,0,1.3639
2,3,2,94,6,1.1419,4.8,2,1.674,0,0.97277
2,3,3,95,6,1.0934,7.2896,3,1.398,0,1.5021
2,3,4,96,6,1.1357,5.6697,3,2.3738,0,1.1463
2,3,5,97,3,0.86002,3.4027,2,0.8389,0,0.54939
2,3,6,98,3,0.8417,4.5641,3,1.2344,0,0.63085
2,3,7,99,6,0.88359,7.8199,2,1.8667,1,2.3409
2,3,8,100,3,0.7631,2.3317,3,1.1615,0,1.6037
2,3,9,101,3,0.88959,4.0249,2,0.91729,1,0.88106
2,3,10,102,3,0.85453,3.0481,3,0.83964,0,1.512
2,3,11,103,3,0.81807,3.407,3,0.90569,0,0.93609
2,3,12,104,6,0.91242,6.6676,3,1.2689,1,2.1817
2,3,13,105,6,0.68393,5.2197,2,2.213,0,1.4767
2,3,14,106,3,1.1107,3.1776,3,1.335,0,1.5435
2,3,15,107,6,0.91085,6.4396,3,1.6755,0,1.75
2,3,16,108,6,0.87627,6.7525,3,1.7068,0,1.4475
2,3,17,109,6,1.0529,7.3213,2,0.85741,1,0.96331
2,3,18,110,6,1.0456,6.5916,3,2.9392,0,3.9074
2,3,19,111,6,0.93169,6.7829,2,1.3924,0,1.4382
2,3,20,112,3,0.91784,2.1327,2,1.0386,1,1.0232
2,3,21,113,3,0.8089,3.8891,2,1.0398,1,1.024
2,3,22,114,6,0.83677,6.6849,1,1.0808,1,0.96534
2,3,23,115,3,0.76537,1.7545,2,1.1076,1,0.80048
2,3,24,116,3,0.73917,3.288,2,1.0278,0,1.0915
2,3,25,117,6,0.67661,8.1407,2,1.3342,1,0.80528
2,3,26,118,3,0.71241,2.2321,2,1.1122,0,0.60554
2,3,27,119,6,0.623,6.3891,1,1.0982,0,0.96674
2,3,28,120,3,0.72204,3.6621,2,2.3224,0,1.2067
2,3,29,121,6,0.85247,5.4214,2,2.6628,1,5.426
2,3,30,122,6,0.57854,7.0933,1,1.0633,0,0.8402
2,3,31,123,3,0.6425,2.8165,2,0.97447,1,0.96385
2,3,32,124,3,0.7069,2.1513,3,0.98971,1,1.4252
2,3,33,125,3,0.63571,2.6466,3,2.4639,0,0.55072
2,3,34,126,6,1.1523,5.894,2,1.2273,1,0.83922
2,3,35,127,3,0.76749,1.5445,3,1.5127,0,1.7011
2,3,36,128,6,0.67657,5.5288,2,0.99198,1,0.86423
2,3,37,129,3,0.69379,3.2548,2,0.95316,0,0.83336
2,3,38,130,6,0.51475,4.6687,1,1.1,0,3.0048
2,3,39,131,6,0.63856,5.4108,2,1.3151,1,1.3039
2,3,40,132,6,0.65053,6.1564,2,3.4754,0,3.3197
2,3,41,133,6,0.28848,5.313,1,1.4303,0,0.88873
2,3,42,134,6,0.55888,7.1532,2,1.6079,1,1.4363
2,3,43,135,6,0.61576,4.1176,1,0.97687,0,0.80316
2,3,44,136,3,0.71722,2.1565,2,1.3201,1,0.69659
2,3,45,137,3,0.6668,3.1939,2,2.1466,0,0.8406
2,3,46,138,6,0.70935,6.7534,1,0.94606,1,1.1139
2,3,47,139,6,0.67129,5.3613,1,3.5526,0,0.95455
2,3,48,140,6,0.6279,7.3553,1,1.0698,1,0.72127
2,3,49,141,3,0.57342,3.763,2,1.5115,0,2.0392
2,3,50,142,3,0.69391,3.767,1,1.1765,1,1.0018
2,3,51,143,6,0.93016,5.5688,2,1.8479,0,1.7423
2,3,52,144,3,1.7457,3.152,2,1.801,0,1.2425
2,3,53,145,3,0.91852,3.6578,2,3.5792,0,2.1232
2,3,54,146,3,0.58239,3.08,2,1.4001,0,1.3168
2,3,55,147,6,0.66716,4.8581,1,1.5633,1,2.0051
2,3,56,148,3,0.7294,3.2312,3,1.4254,0,0.58743
2,3,57,149,3,0.98305,3.9181,3,1.6382,0,0.57114
2,3,58,150,6,0.94164,6.2771,3,0.99931,1,0.69211
2,3,59,151,6,1.0008,5.868,3,1.7584,1,1.5742
2,3,60,152,6,0.77224,6.3369,3,0.97219,1,1.2851
2,3,61,153,3,0.721,3.1849,3,1.1388,0,1.1598
2,3,62,154,3,0.64935,3.4691,3,1.1379,1,1.4464
2,3,63,155,3,0.88977,3.7501,2,0.8759,0,0.5901
2,3,64,156,3,0.61998,2.9838,3,0.8501,0,0.54336
