Subj_idx,Block,Trial_in_block,Trial,Stimulus,RT_start,Response,Confidence,RT_conf,ErrorDirection,RT_error
1,1,1,1,3,2.5049,3.444,1,3.9595,1,2.9173
1,1,2,2,3,1.1593,3.002,3,1.4883,0,3.9093
1,1,3,3,3,1.0281,5.3547,1,2.3386,1,1.2441
1,1,4,4,3,0.66439,2.5594,3,1.4216,0,1.4089
1,1,5,5,3,0.83462,3.7453,3,2.3335,0,1.0649
1,1,6,6,3,2.8252,3.5592,2,2.6822,0,1.5658
1,1,7,7,3,0.88346,2.2172,3,1.1283,0,3.8283
1,1,8,8,3,0.81472,3.6588,3,1.6928,0,0.87504
1,1,9,9,3,0.67569,2.8772,2,1.7736,0,0.83433
1,1,10,10,3,1.1828,2.3801,1,2.5982,0,0.66408
1,1,11,11,3,1.1437,3.178,3,1.6227,1,1.6468
1,1,12,12,3,0.57321,4.1011,3,1.751,0,0.74206
1,1,13,13,3,0.66549,3.2294,3,1.3622,0,1.378
1,1,14,14,3,0.48185,3.4431,3,1.8078,0,2.9236
1,1,15,15,3,0.59137,1.8891,3,1.2208,0,0.80863
1,1,16,16,3,0.72995,3.0447,3,1.6725,0,0.90964
1,1,17,17,3,0.54253,2.5522,3,1.5288,0,1.7534
1,1,18,18,3,0.83665,2.6718,2,3.143,0,0.76987
1,1,19,19,3,0.68302,2.2797,3,1.1484,0,0.72856
1,1,20,20,3,0.71803,3.0962,2,1.411,0,0.84012
1,1,21,21,3,0.70543,1.9749,3,1.6228,0,1.9717
1,1,22,22,3,0.39313,2.0668,3,1.2903,0,0.57419
1,1,23,23,3,0.57841,2.9427,2,1.8591,1,0.68758
1,1,24,24,3,1.9846,2.3703,1,1.918,0,0.82914
1,1,25,25,3,0.77075,3.3356,2,1.575,1,0.93679
1,1,26,26,3,1.6671,3.608,2,2.0805,0,0.59083
1,1,27,27,3,0.86158,2.0919,3,1.2489,0,0.54091
1,1,28,28,3,1.2733,2.6362,3,1.2911,0,0.78768
1,1,29,29,3,0.68872,2.9371,2,1.6911,0,0.51131
1,1,30,30,3,0.78581,2.6329,3,1.8747,0,0.87435
1,1,31,31,3,0.63535,3.7457,3,8.7347,0,0.71739
1,1,32,32,3,1.0276,3.2152,2,1.5522,0,0.55614
1,1,33,33,3,0.65899,3.3022,2,4.9389,0,0.74076
1,1,34,34,3,0.79412,3.1049,3,2.0419,0,0.26005
1,1,35,35,3,0.68246,1.9423,2,1.9735,0,0.78537
1,1,36,36,3,0.70485,2.7865,3,1.6777,0,0.4646
1,1,37,37,3,0.96757,2.0559,3,2.4077,0,0.92171
1,1,38,38,3,1.2755,3.35,3,1.6365,0,1.6692
1,1,39,39,3,0.73933,2.9505,2,1.4245,1,1.4495
1,1,40,40,3,1.0317,3.7446,1,2.4209,1,1.1426
1,1,41,41,3,0.67787,2.6172,2,1.3888,0,1.2349
1,1,42,42,3,0.8294,3.369,2,1.8376,0,0.58257
1,1,43,43,3,0.68184,2.8303,3,1.738,0,0.68247
1,1,44,44,3,0.70519,3.4615,1,1.7592,1,0.97478
1,1,45,45,3,0.66404,3.1717,3,1.1407,0,0.67558
1,1,46,46,3,0.73301,3.2056,2,1.5789,0,0.54132
2,1,1,1,3,1.6963,2.3529,3,1.1678,0,1.7175
2,1,2,2,3,2.328,2.6383,2,1.7181,0,3.304
2,1,3,3,3,2.1086,3.0237,1,2.7306,0,3.9389
2,1,4,4,3,2.4843,2.4814,3,2.052,0,1.5676
2,1,5,5,3,3.2961,2.7737,3,1.6199,1,1.2059
2,1,6,6,3,2.4829,2.9415,3,1.2955,0,1.1545
2,1,7,7,3,3.0618,4.0486,2,2.3125,1,2.7892
2,1,8,8,3,1.9958,3.2147,2,2.0896,1,1.8077
2,1,9,9,3,1.5777,2.8775,3,5.6098,1,5.4897
2,1,10,10,3,1.7844,2.9801,1,1.2744,0,6.7631
2,1,11,11,3,3.8192,2.9147,1,2.5859,0,4.6163
2,1,12,12,3,1.4405,1.0368,2,1.7465,1,1.2039
2,1,13,13,3,2.4411,2.3214,1,1.7186,1,3.7426
2,1,14,14,3,2.1073,2.0093,3,1.424,0,4.0622
2,1,15,15,3,1.562,2.8527,2,1.4155,0,5.1781
2,1,16,16,3,1.9126,3.6522,1,2.212,0,4.5763
2,1,17,17,3,5.095,2.4918,2,1.2851,1,1.1559
2,1,18,18,3,2.1641,2.5401,3,1.609,0,3.8371
2,1,19,19,3,1.9055,3.1082,2,3.4692,0,6.9304
2,1,20,20,3,2.1432,3.1493,3,1.5023,1,4.6074
2,1,21,21,3,1.4053,3.0718,2,1.3544,0,13.16
2,1,22,22,3,1.1443,2.7155,1,3.7998,0,3.7143
2,1,23,23,3,1.4473,2.6181,2,1.1518,1,3.1688
2,1,24,24,3,1.562,2.8277,2,1.2357,0,2.6452
2,1,25,25,3,1.4472,2.8815,3,1.013,0,2.0904
2,1,26,26,3,1.2137,2.281,2,1.4618,0,1.2519
2,1,27,27,3,1.2087,1.7381,2,2.171,1,2.2561
2,1,28,28,3,1.0361,2.3334,3,1.3398,1,2.7858
2,1,29,29,3,1.1819,3.1822,1,2.0141,0,2.3412
2,1,30,30,3,2.232,1.6908,2,1.9738,1,2.2722
2,1,31,31,3,1.1034,2.1967,2,1.6781,0,0.92661
2,1,32,32,3,1.1103,3.6775,2,1.6712,0,4.5201
2,1,33,33,3,1.3112,2.9147,1,6.8638,1,6.0398
2,1,34,34,3,1.6832,3.2955,2,1.9857,1,1.2799
2,1,35,35,3,1.1171,2.6053,1,1.2814,0,0.98969
2,1,36,36,3,1.4067,2.9617,2,1.8489,0,2.1013
2,1,37,37,3,1.2351,3.0563,2,1.7807,0,3.6172
2,1,38,38,3,2.3116,3.8636,1,1.4977,1,1.4896
2,1,39,39,3,1.5003,4.1549,2,1.4138,1,2.5132
2,1,40,40,3,1.1925,3.4893,1,4.2173,0,2.3758
2,1,41,41,3,0.95739,4.0126,2,1.135,1,1.0437
2,1,42,42,3,1.2013,2.3309,2,1.5497,0,2.4912
2,1,43,43,3,1.2052,3.6718,1,2.1523,1,1.0676
2,1,44,44,3,1.1155,2.3835,2,1.3267,0,0.85123
2,1,45,45,3,1.3476,3.8322,2,2.8124,0,1.962
2,1,46,46,3,0.91216,2.5302,3,1.3258,1,1.6761
3,1,1,1,3,2.0688,3.2168,2,3.0487,0,1.7894
3,1,2,2,3,1.2224,3.2722,2,1.3795,1,2.2414
3,1,3,3,3,1.2481,2.8575,2,1.056,1,3.0612
3,1,4,4,3,0.88001,3.095,3,1.2108,0,1.6275
3,1,5,5,3,0.79186,3.1525,3,0.88824,0,2.1363
3,1,6,6,3,3.2761,3.8959,2,1.3961,1,1.2296
3,1,7,7,3,0.96849,3.0446,2,0.96089,1,0.56589
3,1,8,8,3,0.82999,3.9064,2,1.1534,1,0.57016
3,1,9,9,3,0.89423,3.953,2,1.0132,1,1.3021
3,1,10,10,3,0.69122,3.6888,2,1.0152,1,0.59143
3,1,11,11,3,5.7666,2.8337,2,0.77413,1,0.80134
3,1,12,12,3,1.2797,3.3419,2,0.69524,1,0.66345
