Subj_idx,Stimulus,Response,Confidence,RT_dec,Load,Condition,Accuracy,Task,Block
1,0,0,2,0.897280182000031,1.0,0.5,1,wm,4
1,1,0,2,1.14055203499993,1.0,1.0,0,wm,4
1,1,0,2,1.16151524500037,1.0,0.5,0,wm,4
1,0,0,2,1.03949844199997,1.0,0.5,1,wm,4
1,0,1,3,1.18896874700022,1.0,1.0,0,wm,4
1,0,0,1,1.29753597500076,1.0,0.5,1,wm,4
1,0,0,2,0.909929578000629,1.0,1.0,1,wm,4
1,1,1,2,0.86614389099941,1.0,0.5,1,wm,4
1,0,0,3,0.982223185000294,1.0,0.5,1,wm,4
1,1,1,2,1.14812240399988,1.0,0.5,1,wm,4
1,1,1,1,0.758736662000047,1.0,1.0,1,wm,4
1,1,1,2,1.42143082999974,1.0,1.0,1,wm,4
1,1,1,2,0.860934266000186,1.0,1.0,1,wm,4
1,1,1,2,0.762342818000434,1.0,1.0,1,wm,4
1,0,0,3,1.26839708399984,1.0,0.5,1,wm,4
1,1,1,3,1.91218544300045,1.0,0.5,1,wm,4
1,0,1,2,2.09267855900089,1.0,1.0,0,wm,4
1,0,0,3,1.06952900200031,1.0,1.0,1,wm,4
1,1,1,2,0.730073915000503,1.0,0.5,1,wm,4
1,1,1,2,0.986250491000646,1.0,0.5,1,wm,4
1,0,0,2,1.64540031500019,1.0,0.5,1,wm,4
1,1,1,2,1.3319594400009,1.0,1.0,1,wm,4
1,0,0,1,1.13442277700051,1.0,0.5,1,wm,4
1,1,0,1,0.942308968000361,1.0,0.5,0,wm,4
1,0,0,2,1.96796532299959,1.0,0.5,1,wm,4
1,1,1,3,1.33851880700058,1.0,1.0,1,wm,4
1,1,1,3,1.06686684100077,1.0,0.5,1,wm,4
1,1,1,2,0.869054738000159,1.0,1.0,1,wm,4
1,0,0,2,0.938034628000423,1.0,1.0,1,wm,4
1,0,0,2,1.00304175600013,1.0,1.0,1,wm,4
1,1,1,4,2.71418319199984,1.0,0.5,1,wm,4
1,1,0,3,0.49241844000062,1.0,1.0,0,wm,4
2,1,1,3,1.39636977800046,1.0,1.0,1,wm,3
2,1,1,2,1.14705115200013,1.0,1.0,1,wm,3
2,0,0,3,1.84044817299991,1.0,0.5,1,wm,3
2,0,0,3,1.46624942800008,1.0,0.5,1,wm,3
2,0,0,2,8.80283833900012,1.0,0.5,1,wm,3
2,0,1,2,1.73810768600015,1.0,0.5,0,wm,3
2,0,1,2,1.27082197100026,1.0,0.5,0,wm,3
2,1,0,2,1.196236107,1.0,1.0,0,wm,3
2,1,0,2,1.3303141639999,1.0,1.0,0,wm,3
2,0,0,2,1.88474914800008,1.0,1.0,1,wm,3
2,0,0,2,1.40764007600001,1.0,0.5,1,wm,3
2,0,0,2,1.37121181200018,1.0,1.0,1,wm,3
2,1,0,2,1.33728342100039,1.0,0.5,0,wm,3
2,0,1,2,1.50950052200051,1.0,0.5,0,wm,3
2,1,1,2,1.72436420099984,1.0,1.0,1,wm,3
2,1,1,2,1.59839264500033,1.0,0.5,1,wm,3
2,1,0,2,1.65553136300014,1.0,0.5,0,wm,3
2,0,1,2,1.78745997299984,1.0,0.5,0,wm,3
2,1,0,2,1.349449671,1.0,1.0,0,wm,3
2,0,0,3,1.194371606,1.0,0.5,1,wm,3
2,0,1,2,1.21823636699992,1.0,0.5,0,wm,3
2,0,1,2,1.54670345900013,1.0,0.5,0,wm,3
2,0,0,2,1.48515555199992,1.0,0.5,1,wm,3
2,0,1,2,1.31833654100001,1.0,1.0,0,wm,3
2,0,0,2,1.29054896200023,1.0,1.0,1,wm,3
2,0,1,2,1.72001466999973,1.0,1.0,0,wm,3
2,1,1,3,1.30058130099997,1.0,1.0,1,wm,3
2,1,1,3,1.12216275499986,1.0,0.5,1,wm,3
2,0,0,3,1.88300653000033,1.0,1.0,1,wm,3
2,1,0,3,1.39154061500039,1.0,0.5,0,wm,3
2,1,1,2,1.67828121699995,1.0,1.0,1,wm,3
